p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.375523792653364e-9,1.804879538344415,0.25,0.006,2.5148701501081454e-5,BM & Prog.,RGS7BP
1.4136159537703174e-9,1.1315055551075741,0.25,0.006,2.5845140482782712e-5,BM & Prog.,CTAGE7P
1.433045734657099e-9,1.36047874467557,0.25,0.006,2.620037516673574e-5,BM & Prog.,RORB
1.492909747798687e-9,1.1790498999086096,0.25,0.006,2.7294868919003393e-5,BM & Prog.,ADAMTS3
1.5398021061716858e-9,1.2761962693335247,0.5,0.024,2.8152201907136932e-5,BM & Prog.,OTUD6B
1.6918698172116934e-9,2.5323593406738363,0.75,0.06,3.093245586808139e-5,BM & Prog.,TMEM56
1.7049353749786834e-9,2.0569940414426457,0.75,0.056,3.117133346073527e-5,BM & Prog.,LINC00410
1.7349189296300112e-9,2.253040478253156,1,0.105,3.17195227904255e-5,BM & Prog.,COMMD2
1.8060623804079743e-9,0.8636091062739331,0.25,0.006,3.302023850099899e-5,BM & Prog.,STAB2
1.9590808715924593e-9,0.8555250685737464,0.25,0.006,3.581787557532494e-5,BM & Prog.,KCNRG
1.9590808715924593e-9,0.8263286366758722,0.25,0.006,3.581787557532494e-5,BM & Prog.,WDR78
1.9590808715924593e-9,0.8252075141413456,0.25,0.006,3.581787557532494e-5,BM & Prog.,AOX1
1.9857830331126717e-9,0.8313350895341991,0.25,0.006,3.6306071194398976e-5,BM & Prog.,SPAM1
2.0128396504858414e-9,0.8346450526293351,0.25,0.006,3.680074732983264e-5,BM & Prog.,B3GALT2
2.0711013035295317e-9,1.6473929935703175,0.5,0.025,3.7865945132430426e-5,BM & Prog.,LOC286359
2.1755394735200163e-9,2.3915058258480437,1,0.104,3.9775388194366454e-5,BM & Prog.,L2HGDH
2.2493430683597284e-9,1.922871520201386,0.5,0.025,4.1124739318820914e-5,BM & Prog.,CPB2-AS1
2.3895204422846527e-9,3.0059946664610173,1,0.117,4.3687602246290303e-5,BM & Prog.,LOC284581
2.4594674846081052e-9,1.2458385443463202,0.5,0.025,4.4966444021089986e-5,BM & Prog.,TSEN2
2.519842267249453e-9,1.1745959931008005,0.25,0.007,4.607027617212175e-5,BM & Prog.,ANKRD18B
2.5282192296700094e-9,1.624299608711112,0.75,0.055,4.6223432176056784e-5,BM & Prog.,CEP162
