"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"KCTD12.1",2.41681186998012e-34,-0.49799328612156,0.049,0.21,4.93778833155637e-30,"B_Cells","KCTD12"
"RPS29",2.52014607014012e-34,0.681671822578872,0.998,0.976,5.14891043590328e-30,"B_Cells","RPS29"
"CCT5",2.53852178453815e-34,-0.394813858226486,0.121,0.308,5.1864538579899e-30,"B_Cells","CCT5"
"ANAPC11",3.0369556314346e-34,-0.48655386889555,0.374,0.488,6.20480405058403e-30,"B_Cells","ANAPC11"
"TCF21.1",3.28320207673161e-34,-0.488226143778503,0.015,0.165,6.70791016297035e-30,"B_Cells","TCF21"
"FAM195B",3.35950358584043e-34,-0.425382302148667,0.136,0.32,6.86380177623059e-30,"B_Cells","FAM195B"
"UACA",3.63482119683922e-34,-0.340365278346737,0.009,0.155,7.42630318726221e-30,"B_Cells","UACA"
"DEK",4.20666016177258e-34,-0.322380597299775,0.171,0.402,8.59462737651756e-30,"B_Cells","DEK"
"BLOC1S1.1",4.24882304888592e-34,-0.492787442847084,0.29,0.448,8.68077037117882e-30,"B_Cells","BLOC1S1"
"ASPN.1",4.64037200414054e-34,-0.725284547202182,0.012,0.158,9.48074404165954e-30,"B_Cells","ASPN"
"ENSA",4.68809876308524e-34,-0.460057370546941,0.278,0.439,9.57825458285945e-30,"B_Cells","ENSA"
"FBXL5",5.79609196551779e-34,-0.419164494017477,0.107,0.279,1.18419954947494e-29,"B_Cells","FBXL5"
"PHPT1",6.05589058538291e-34,-0.603082642338814,0.386,0.475,1.23727900549958e-29,"B_Cells","PHPT1"
"RAMP1.1",7.50218511439563e-34,-0.799120705838621,0.016,0.164,1.53277144072217e-29,"B_Cells","RAMP1"
"DUSP23",9.32162344188865e-34,-0.633483149621141,0.117,0.279,1.90450088541227e-29,"B_Cells","DUSP23"
"RPL36AL",1.00437994514195e-33,-0.316478565516428,0.817,0.839,2.05204866591952e-29,"B_Cells","RPL36AL"
"FAM96B",1.05516175690798e-33,-0.461499565669049,0.302,0.448,2.15580098553869e-29,"B_Cells","FAM96B"
"CD14.1",1.0938696734833e-33,-1.57457071027928,0.135,0.291,2.23488512989372e-29,"B_Cells","CD14"
"STX12",1.11807790882754e-33,-0.425233388365697,0.105,0.279,2.28434497552555e-29,"B_Cells","STX12"
"HNRNPH3",1.13223624885045e-33,-0.437207247457967,0.163,0.344,2.31327188002636e-29,"B_Cells","HNRNPH3"
"KCNMB1",1.24537308629022e-33,-0.393824594890079,0.003,0.144,2.54442175259955e-29,"B_Cells","KCNMB1"
"ADGRL4.1",1.27240805718713e-33,-0.640349126482621,0.01,0.154,2.59965690163902e-29,"B_Cells","ADGRL4"
"IFITM1.1",1.56451349845036e-33,-0.457688169343246,0.02,0.17,3.19645752868392e-29,"B_Cells","IFITM1"
"GUCY1A3.1",1.90011566360898e-33,-0.463105519066976,0.006,0.148,3.8821263123195e-29,"B_Cells","GUCY1A3"
"GSTM3.1",2.21160544351979e-33,-0.476096595599659,0.071,0.231,4.51853108165528e-29,"B_Cells","GSTM3"
"TSPAN7.1",2.39603154593307e-33,-0.596236368555518,0.016,0.162,4.89533205149585e-29,"B_Cells","TSPAN7"
"SMARCB1",2.74202998130484e-33,0.286890982239496,0.393,0.207,5.60224145480392e-29,"B_Cells","SMARCB1"
"OLFML2B",2.78223494317477e-33,-0.355799683790075,0.006,0.148,5.68438421240038e-29,"B_Cells","OLFML2B"
"LINC00998",2.89104901892922e-33,-0.40767082676585,0.112,0.287,5.90670225057429e-29,"B_Cells","LINC00998"
"GPC3.1",3.99051676263002e-33,-0.611084086767547,0.011,0.153,8.1530247977294e-29,"B_Cells","GPC3"
"TRIP10",5.02790434114961e-33,-0.385683478834735,0.042,0.199,1.02725113594028e-28,"B_Cells","TRIP10"
"MAPK3",5.23059741226614e-33,-0.377182218407291,0.045,0.202,1.0686633573001e-28,"B_Cells","MAPK3"
"HMGN2",5.42876003079987e-33,-0.408083411893737,0.562,0.66,1.10914996189272e-28,"B_Cells","HMGN2"
"CSDE1",5.5703474811896e-33,-0.458734821497499,0.51,0.596,1.13807769388185e-28,"B_Cells","CSDE1"
"CAST",5.62031585562225e-33,-0.406309435877584,0.246,0.434,1.14828673246218e-28,"B_Cells","CAST"
"LTBR",5.88663521666171e-33,-0.366748729111431,0.028,0.178,1.20269844111615e-28,"B_Cells","LTBR"
"RABAC1.1",7.23594776895989e-33,-0.421360384351901,0.576,0.663,1.4783764886762e-28,"B_Cells","RABAC1"
"FBLN1.1",1.06378002505989e-32,-2.54117795718072,0.219,0.358,2.17340896919986e-28,"B_Cells","FBLN1"
"CYP27A1",1.10455483710864e-32,-0.349622372882458,0.008,0.147,2.25671598769667e-28,"B_Cells","CYP27A1"
"ITGA5",1.14449257470752e-32,-0.371200312418732,0.01,0.15,2.33831277938494e-28,"B_Cells","ITGA5"
"CANX",1.45498914843161e-32,-0.511979125359274,0.407,0.503,2.97268832916063e-28,"B_Cells","CANX"
"ISLR.1",1.61398292354977e-32,-0.365101717461437,0.006,0.144,3.29752851110454e-28,"B_Cells","ISLR"
"SPATS2L",1.71552785621535e-32,-0.386625592761229,0.034,0.182,3.50499496303358e-28,"B_Cells","SPATS2L"
"ARID5A",1.77278491808707e-32,-0.620485493500118,0.188,0.355,3.6219768661437e-28,"B_Cells","ARID5A"
"SGCB.1",1.86923786387735e-32,-0.349068963256375,0.012,0.154,3.81903987968781e-28,"B_Cells","SGCB"
"RARA",2.08919695240652e-32,-0.373488345769509,0.044,0.202,4.26843829346176e-28,"B_Cells","RARA"
"ECM2.1",2.12608313536678e-32,-0.336768150086395,0.005,0.143,4.34380045386788e-28,"B_Cells","ECM2"
"LINC00657",2.14649683506364e-32,-0.458211552472245,0.107,0.268,4.38550768371853e-28,"B_Cells","LINC00657"
"EIF4H",2.22703494057473e-32,-0.441214690269618,0.23,0.399,4.55005508708824e-28,"B_Cells","EIF4H"
"NDUFV2",2.39181519944962e-32,-0.485230378101191,0.327,0.454,4.88671763399551e-28,"B_Cells","NDUFV2"
"HES4.1",2.58075166563428e-32,-0.490871450016741,0.019,0.163,5.27273372805741e-28,"B_Cells","HES4"
"NCKAP1.1",2.71606523106038e-32,-0.32925403010642,0.005,0.142,5.54919287357945e-28,"B_Cells","NCKAP1"
"AAK1",2.78961078439851e-32,-0.433053290864328,0.046,0.196,5.69945379360459e-28,"B_Cells","AAK1"
"C10orf10.1",3.48926620370142e-32,-1.36475489634426,0.09,0.245,7.12891978078237e-28,"B_Cells","C10orf10"
"TMEM59.1",3.69628211234532e-32,-0.330258987948111,0.601,0.782,7.55187398373272e-28,"B_Cells","TMEM59"
"RP11-347P5.1",3.74527958031161e-32,0.339364392266246,0.187,0.074,7.65198071053465e-28,"B_Cells","RP11-347P5.1"
"XRCC6",4.01163202200548e-32,-0.391518502526679,0.359,0.525,8.1961653841594e-28,"B_Cells","XRCC6"
"CAMK1",4.19753409385145e-32,-0.324361185150212,0.013,0.153,8.5759819071479e-28,"B_Cells","CAMK1"
"ATP6V1E1",4.6427778926177e-32,-0.432326308332634,0.179,0.345,9.48565951240722e-28,"B_Cells","ATP6V1E1"
"UQCRC2",5.73256590391643e-32,-0.41504856783249,0.214,0.39,1.17122053982917e-27,"B_Cells","UQCRC2"
"MEG3.1",6.33076343465861e-32,-0.519325677669584,0.01,0.147,1.2934382773351e-27,"B_Cells","MEG3"
"SEPT6",7.43648011405947e-32,0.292249721915571,0.277,0.133,1.51934725210349e-27,"B_Cells","SEPT6"
"TNFRSF1B.1",7.49573860970018e-32,-0.416574236374865,0.043,0.201,1.53145435534784e-27,"B_Cells","TNFRSF1B"
"SNX9",8.17996701477925e-32,-0.314985487723505,0.048,0.211,1.67124906078955e-27,"B_Cells","SNX9"
"REXO2.1",8.59864587414374e-32,-0.516136877552697,0.212,0.36,1.75678933854631e-27,"B_Cells","REXO2"
"SEC61G",8.71334132250186e-32,-0.387542298696229,0.528,0.645,1.78022276560035e-27,"B_Cells","SEC61G"
"RCAN2.1",1.09639263237286e-31,-0.405218560104768,0.009,0.145,2.24003978720098e-27,"B_Cells","RCAN2"
"RWDD1",1.11718081621742e-31,-0.482992858474137,0.328,0.462,2.28251212561381e-27,"B_Cells","RWDD1"
"MMRN2.1",1.13350246374043e-31,-0.492917948084903,0.005,0.139,2.31585888366807e-27,"B_Cells","MMRN2"
"ASAH1.1",1.18354363889048e-31,-0.608327929699072,0.295,0.426,2.41809800861713e-27,"B_Cells","ASAH1"
"PLVAP.1",1.22992961347658e-31,-1.22257624159106,0.046,0.194,2.512869193294e-27,"B_Cells","PLVAP"
"NDUFA1",1.25904499080734e-31,-0.39626919439531,0.583,0.64,2.57235482071847e-27,"B_Cells","NDUFA1"
"ARL3",1.26074647994009e-31,-0.399576049166729,0.063,0.218,2.57583113316559e-27,"B_Cells","ARL3"
"GNAI2.1",1.43678563151664e-31,-0.502874910008271,0.197,0.363,2.93549672375165e-27,"B_Cells","GNAI2"
"VPS26A",1.50115234647598e-31,-0.410441731930198,0.121,0.289,3.06700435908508e-27,"B_Cells","VPS26A"
"PARVA.1",1.64058061320661e-31,-0.307846015723928,0.006,0.141,3.35187025084242e-27,"B_Cells","PARVA"
"EIF3I",1.6913109682612e-31,-0.4331514857863,0.323,0.464,3.45551743925445e-27,"B_Cells","EIF3I"
"RIN2",1.71076762077332e-31,-0.333377425991579,0.008,0.142,3.49526932600197e-27,"B_Cells","RIN2"
"GNAQ",1.7438813408449e-31,-0.336818127219515,0.014,0.152,3.56292396748022e-27,"B_Cells","GNAQ"
"IL13RA1.1",2.2266093456051e-31,-0.34422169166087,0.052,0.209,4.54918555400578e-27,"B_Cells","IL13RA1"
"DLC1.1",2.28377004079032e-31,-0.366725745732976,0.01,0.146,4.66597057033871e-27,"B_Cells","DLC1"
"ECSCR.1.1",2.38914314020896e-31,-0.711856387319292,0.021,0.162,4.88125834976092e-27,"B_Cells","ECSCR.1"
"CALHM2",2.56503464384244e-31,-0.346227953533108,0.05,0.209,5.2406222808345e-27,"B_Cells","CALHM2"
"WWTR1.1",2.60898507335098e-31,-0.357933590253387,0.014,0.152,5.3304174033634e-27,"B_Cells","WWTR1"
"RAD23A",2.73390155444524e-31,-0.4387148399598,0.348,0.484,5.58563426588708e-27,"B_Cells","RAD23A"
"FKBP8",2.87757589928161e-31,-0.439353210899851,0.411,0.526,5.87917531982227e-27,"B_Cells","FKBP8"
"EVA1C.1",3.28147557270614e-31,-0.355673403057282,0.009,0.143,6.70438274259591e-27,"B_Cells","EVA1C"
"CAT",3.36674556814204e-31,-0.428833256162388,0.147,0.326,6.878597870271e-27,"B_Cells","CAT"
"CLEC14A.1",3.44404974814476e-31,-0.590210410395066,0.012,0.147,7.03653804043456e-27,"B_Cells","CLEC14A"
"PKIG.1",3.4771452555987e-31,-0.419852407653868,0.12,0.302,7.1041554717137e-27,"B_Cells","PKIG"
"DBN1.1",3.62158147103513e-31,-0.393540627760904,0.03,0.172,7.39925310347188e-27,"B_Cells","DBN1"
"PAM.1",3.68519726939583e-31,-0.440824410785194,0.062,0.213,7.52922654110262e-27,"B_Cells","PAM"
"RAMP3.1",3.8726030016136e-31,-0.753112601845434,0.02,0.16,7.91211519259675e-27,"B_Cells","RAMP3"
"TNFSF12",4.1816701688436e-31,-0.33337343726035,0.032,0.181,8.54357032196436e-27,"B_Cells","TNFSF12"
"LDB2.1",4.24284715864314e-31,-0.472150843786495,0.011,0.145,8.66856102982379e-27,"B_Cells","LDB2"
"SVIL.1",4.63747157606879e-31,-0.35794717441718,0.009,0.142,9.47481817706615e-27,"B_Cells","SVIL"
"C4orf32.1",4.92551363675107e-31,-0.378881121182191,0.013,0.149,1.00633169112461e-26,"B_Cells","C4orf32"
"TIMM8B",5.02804574901797e-31,-0.449100552341103,0.133,0.289,1.02728002698186e-26,"B_Cells","TIMM8B"
"HEXB.1",5.69154535554634e-31,-0.520728225336538,0.271,0.401,1.16283963159167e-26,"B_Cells","HEXB"
"MAGED2.1",5.69635471767428e-31,-0.556913136101604,0.294,0.42,1.16382223236803e-26,"B_Cells","MAGED2"
"FAM127B.1",5.9460912772231e-31,-0.408990681806872,0.058,0.207,1.21484590884945e-26,"B_Cells","FAM127B"
"CTSA",7.05887990088201e-31,-0.449318300099149,0.215,0.374,1.4421997525492e-26,"B_Cells","CTSA"
"ARPC1A.1",7.39477907742533e-31,-0.553810461995067,0.21,0.349,1.51082731330877e-26,"B_Cells","ARPC1A"
"ZFP36L1.1",7.7422061093606e-31,-0.442589197089614,0.494,0.628,1.58181013020346e-26,"B_Cells","ZFP36L1"
"C1orf123",7.79570435897161e-31,-0.371834542971178,0.083,0.245,1.59274035758149e-26,"B_Cells","C1orf123"
"STAT3",8.08180235098953e-31,-0.416847612574588,0.247,0.422,1.65119303833067e-26,"B_Cells","STAT3"
"PRMT2",1.07376127521768e-30,-0.424688168503767,0.13,0.294,2.19380166139725e-26,"B_Cells","PRMT2"
"LGI4.1",1.20324559428988e-30,-0.821726683981708,0.01,0.142,2.45835107369366e-26,"B_Cells","LGI4"
"PROCR.1",1.64509133713756e-30,-0.386080588609738,0.005,0.135,3.36108611090575e-26,"B_Cells","PROCR"
"EIF2S2",1.68648166455277e-30,-0.480662310118533,0.407,0.504,3.44565068884777e-26,"B_Cells","EIF2S2"
"ERP29",1.72995894511941e-30,0.268377295398715,0.638,0.399,3.53447912077347e-26,"B_Cells","ERP29"
"LAP3",1.81647502064543e-30,-0.534773633506484,0.175,0.323,3.71124011468068e-26,"B_Cells","LAP3"
"MYH10.1",1.82729996500189e-30,-0.569693775180343,0.025,0.163,3.73335655849537e-26,"B_Cells","MYH10"
"UQCRB",1.96874045725301e-30,-0.257926887463638,0.874,0.855,4.02233362821363e-26,"B_Cells","UQCRB"
"SERINC3",2.03818746017186e-30,-0.450877510950576,0.163,0.322,4.16422079987712e-26,"B_Cells","SERINC3"
"CNIH4",2.06792400140279e-30,-0.408988827629509,0.095,0.252,4.22497552726605e-26,"B_Cells","CNIH4"
"TCEAL1.1",2.45811389859229e-30,-0.383660280898266,0.055,0.209,5.02217250621391e-26,"B_Cells","TCEAL1"
"EIF1AX",3.16807636026706e-30,-0.444141817441358,0.244,0.396,6.47269681166162e-26,"B_Cells","EIF1AX"
"SUMO3",3.81556351560645e-30,-0.441775954599029,0.22,0.378,7.79557781873553e-26,"B_Cells","SUMO3"
"NOVA1.1",3.83310334104109e-30,-0.353005513855721,0.001,0.127,7.83141343608104e-26,"B_Cells","NOVA1"
"TSHZ2.1",3.95245208594511e-30,-0.431610573567748,0.026,0.163,8.07525485679446e-26,"B_Cells","TSHZ2"
"CAPNS1",3.95718578503552e-30,-0.413872046818146,0.113,0.271,8.08492627740608e-26,"B_Cells","CAPNS1"
"ECM1.1",4.13720975613207e-30,-0.400209237553244,0.004,0.131,8.45273325275343e-26,"B_Cells","ECM1"
"VSIG4.1",4.15934065783432e-30,-0.862714921484994,0.031,0.17,8.49794889802129e-26,"B_Cells","VSIG4"
"ATRAID",4.22872602330103e-30,-0.490977703444635,0.405,0.488,8.63971013820634e-26,"B_Cells","ATRAID"
"RAB31.1",4.285697362144e-30,-0.345776823520565,0.036,0.182,8.7561082805964e-26,"B_Cells","RAB31"
"NDUFA12",4.31652542243862e-30,-0.433968543969793,0.209,0.367,8.81909309058435e-26,"B_Cells","NDUFA12"
"RDX.1",4.51515859010259e-30,-0.535883431412917,0.167,0.315,9.22492051543861e-26,"B_Cells","RDX"
"SGCA.1",5.48137417036023e-30,-0.423267022694975,0.016,0.15,1.1198995567463e-25,"B_Cells","SGCA"
"DDX24",5.85030722046575e-30,-0.422955362730105,0.276,0.439,1.19527626821336e-25,"B_Cells","DDX24"
"TAX1BP1",5.99612538716936e-30,-0.45041200482312,0.275,0.42,1.22506837785257e-25,"B_Cells","TAX1BP1"
"TJP1.1",6.1816212842547e-30,-0.310455150811864,0.003,0.129,1.26296704458608e-25,"B_Cells","TJP1"
"C12orf75.1",6.41058731073394e-30,-0.700914914734042,0.07,0.224,1.30974709345605e-25,"B_Cells","C12orf75"
"BTF3L4",6.51933627241143e-30,-0.392585455854842,0.135,0.298,1.33196559381638e-25,"B_Cells","BTF3L4"
"LAPTM4B.1",6.7356021018395e-30,-0.324476303614791,0.015,0.148,1.37615086542683e-25,"B_Cells","LAPTM4B"
"BEX4",6.84822925130111e-30,-0.450832212796121,0.093,0.243,1.39916171833333e-25,"B_Cells","BEX4"
"MAP4.1",6.9295910314676e-30,-0.3943209545406,0.077,0.235,1.41578474363915e-25,"B_Cells","MAP4"
"PCAT19.1",7.46886123632937e-30,-0.497584975924898,0.01,0.139,1.52596303919445e-25,"B_Cells","PCAT19"
"ACVRL1.1",7.53430514853996e-30,-0.317918422973905,0.008,0.137,1.5393338848982e-25,"B_Cells","ACVRL1"
"FAM46A",7.73151396002669e-30,-0.362348821861725,0.038,0.186,1.57962561717305e-25,"B_Cells","FAM46A"
"N4BP2L2.1",8.06456313314138e-30,-0.416274233584009,0.384,0.542,1.64767089373211e-25,"B_Cells","N4BP2L2"
"PSMC2",8.20435966223387e-30,-0.414209821361707,0.138,0.293,1.676232722591e-25,"B_Cells","PSMC2"
"FCGR2A.1",8.32673368312e-30,-0.946344669375502,0.046,0.188,1.70123495879825e-25,"B_Cells","FCGR2A"
"TPD52L1.1",8.60142653692972e-30,-0.333875716303797,0.003,0.128,1.75735745576011e-25,"B_Cells","TPD52L1"
"SDHC",8.67872870392742e-30,-0.439693865309236,0.227,0.373,1.77315106149941e-25,"B_Cells","SDHC"
"LUZP1",1.12338381110826e-29,-0.328723330268297,0.025,0.164,2.29518546447529e-25,"B_Cells","LUZP1"
"TRMT112",1.18043073378998e-29,-0.362285607563357,0.604,0.649,2.4117380322063e-25,"B_Cells","TRMT112"
"TUBA1C",1.23916473715373e-29,-0.426830115247912,0.095,0.248,2.53173747447878e-25,"B_Cells","TUBA1C"
"SLIT3.1",1.23991544939526e-29,-0.345567990222039,0.003,0.128,2.53327125465945e-25,"B_Cells","SLIT3"
"CARHSP1.1",1.2413832901166e-29,-0.527394187106421,0.167,0.317,2.53627020003722e-25,"B_Cells","CARHSP1"
"NET1.1",1.35298393900058e-29,-0.579608605021419,0.033,0.171,2.76428148577209e-25,"B_Cells","NET1"
"FABP5",1.45986071829557e-29,-0.864436088237325,0.115,0.273,2.98264143354967e-25,"B_Cells","FABP5"
"CD68.1",1.6034643749925e-29,-0.776817869062832,0.099,0.251,3.27603806454717e-25,"B_Cells","CD68"
"SCCPDH",1.72626803982372e-29,-0.355930619676464,0.021,0.156,3.52693823216385e-25,"B_Cells","SCCPDH"
"TNFSF10",1.78079970752835e-29,-0.38608953307347,0.028,0.167,3.63835188245117e-25,"B_Cells","TNFSF10"
"PTGIR.1",1.93136439217687e-29,-0.3453707604992,0.005,0.131,3.94597058965656e-25,"B_Cells","PTGIR"
"DCTN2",2.00279800729954e-29,-0.445874580475827,0.221,0.366,4.0919166087137e-25,"B_Cells","DCTN2"
"KDELR2",2.21200356249726e-29,-0.502036656246261,0.439,0.521,4.51934447853815e-25,"B_Cells","KDELR2"
"DCTN6",2.75462582764469e-29,-0.441811832324445,0.114,0.262,5.62797602846086e-25,"B_Cells","DCTN6"
"VAMP2.1",2.76379239069014e-29,-0.464869015974738,0.475,0.564,5.64670423341902e-25,"B_Cells","VAMP2"
"ADAMTS9.1",3.10929112310622e-29,-0.579768419892695,0.015,0.145,6.35259269361833e-25,"B_Cells","ADAMTS9"
"SMS.1",3.21486617504751e-29,-0.337895304128218,0.087,0.249,6.56829308223957e-25,"B_Cells","SMS"
"CDH19.1",3.37920491579814e-29,-0.68664804177585,0.003,0.126,6.90405356346718e-25,"B_Cells","CDH19"
"PRDM2",3.87514459655219e-29,0.274777119985734,0.182,0.076,7.91730792521577e-25,"B_Cells","PRDM2"
"UBE2V2",3.88784779268339e-29,-0.364572014778686,0.119,0.281,7.94326182523143e-25,"B_Cells","UBE2V2"
"RAB14",4.10214927631856e-29,-0.368309849890216,0.127,0.29,8.38110118644646e-25,"B_Cells","RAB14"
"QRSL1",4.25077209056085e-29,0.254924544789709,0.124,0.042,8.68475245822488e-25,"B_Cells","QRSL1"
"OSBPL1A",4.52977985753207e-29,-0.28792987236024,0.008,0.133,9.25479322692377e-25,"B_Cells","OSBPL1A"
"SERTAD1",5.72302503404659e-29,-0.445079377263407,0.113,0.265,1.16927124470606e-24,"B_Cells","SERTAD1"
"RBM7",5.93229363145896e-29,-0.364567468702519,0.075,0.229,1.21202691184338e-24,"B_Cells","RBM7"
"LOXL1.1",6.13390367156431e-29,-0.346335420078766,0.006,0.131,1.2532178591373e-24,"B_Cells","LOXL1"
"SARAF",6.21810596548454e-29,-0.534988536348246,0.622,0.66,1.27042122980815e-24,"B_Cells","SARAF"
"ERRFI1.1",6.89406781569081e-29,-0.4180709072677,0.021,0.152,1.40852699542379e-24,"B_Cells","ERRFI1"
"PLXND1",7.06183354491687e-29,-0.305024524659076,0.011,0.138,1.44280321156196e-24,"B_Cells","PLXND1"
"SELENBP1.1",7.96772012178081e-29,-0.326540020060921,0.013,0.141,1.62788489808104e-24,"B_Cells","SELENBP1"
"SOX4",8.84020470521703e-29,-0.50150059704123,0.065,0.215,1.80614222332289e-24,"B_Cells","SOX4"
"SMIM3",8.87536824552381e-29,-0.338966241594311,0.016,0.144,1.81332648624297e-24,"B_Cells","SMIM3"
"UBE2N",8.98981785974361e-29,-0.366002425239912,0.211,0.389,1.83670968692422e-24,"B_Cells","UBE2N"
"COL6A3.1",9.11248926846494e-29,-0.411793206754673,0.014,0.142,1.86177268244007e-24,"B_Cells","COL6A3"
"FBN1.1",1.10879610970823e-28,-0.412306308100579,0.01,0.135,2.26538133174489e-24,"B_Cells","FBN1"
"ZNF667-AS1",1.41961788039238e-28,-0.269484927549394,0.008,0.131,2.90042129142966e-24,"B_Cells","ZNF667-AS1"
"HNRNPF",1.58757749936356e-28,-0.386428872255825,0.377,0.531,3.2435795889497e-24,"B_Cells","HNRNPF"
"CDC42EP2",1.62080659521823e-28,-0.316074484064454,0.009,0.132,3.31146995469036e-24,"B_Cells","CDC42EP2"
"PNRC2",1.6833752827222e-28,-0.32871448161844,0.12,0.293,3.43930404012973e-24,"B_Cells","PNRC2"
"COL8A1.1",1.78099603398155e-28,-0.439493324726928,0.009,0.133,3.63875299702771e-24,"B_Cells","COL8A1"
"DAZAP2.1",2.01800494004167e-28,-0.433553377768576,0.286,0.437,4.12298589299913e-24,"B_Cells","DAZAP2"
"ZFHX3",2.02444726142988e-28,-0.300367214925273,0.016,0.146,4.13614819982739e-24,"B_Cells","ZFHX3"
"MFAP5.1",2.14751588155022e-28,-1.00347924749465,0.031,0.165,4.38758969759526e-24,"B_Cells","MFAP5"
"PSMC3",2.21809265342994e-28,-0.427782630729965,0.231,0.376,4.5317851002227e-24,"B_Cells","PSMC3"
"PBX1",2.43697195368447e-28,-0.28571151964089,0.003,0.123,4.97897739857273e-24,"B_Cells","PBX1"
"SESTD1",2.49314576850531e-28,-0.291855031212738,0.016,0.146,5.09374611963319e-24,"B_Cells","SESTD1"
"NR4A1.1",2.63140577982685e-28,-1.12001139795434,0.298,0.409,5.37622514876424e-24,"B_Cells","NR4A1"
"CD163.1",2.64275948702426e-28,-0.562819282326424,0.012,0.136,5.39942190793927e-24,"B_Cells","CD163"
"MMADHC",2.92797701822792e-28,-0.408376963640262,0.208,0.354,5.98214984594147e-24,"B_Cells","MMADHC"
"PFDN1",3.16209279365116e-28,-0.384905334211113,0.114,0.269,6.46047178670868e-24,"B_Cells","PFDN1"
"PCGF2",3.31932121978963e-28,-0.282931550450356,0.004,0.124,6.7817051841522e-24,"B_Cells","PCGF2"
"GDI2.1",3.37278309164997e-28,-0.37720163223105,0.414,0.537,6.89093313455006e-24,"B_Cells","GDI2"
"STK4",3.73578381313495e-28,0.282326625220693,0.26,0.127,7.63257990861602e-24,"B_Cells","STK4"
"SSBP2",3.75860623432434e-28,-0.322134872967855,0.028,0.162,7.67920839734807e-24,"B_Cells","SSBP2"
"ST3GAL4",4.26475222718345e-28,-0.301040483080706,0.009,0.131,8.71331527535851e-24,"B_Cells","ST3GAL4"
"SERP1.1",4.29408781495748e-28,0.254075002478084,0.714,0.516,8.77325081473962e-24,"B_Cells","SERP1"
"C1orf21.1",4.44256135873975e-28,-0.300467289005599,0.005,0.125,9.07659711204118e-24,"B_Cells","C1orf21"
"NDUFS6",4.5522664576279e-28,-0.472301724902586,0.348,0.45,9.30073559957957e-24,"B_Cells","NDUFS6"
"TGFBR3.1",4.70413597621378e-28,-0.335309536232662,0.004,0.124,9.61102021300238e-24,"B_Cells","TGFBR3"
"MEIS2.1",4.91108106971466e-28,-0.292334611263586,0.001,0.118,1.0033829733534e-23,"B_Cells","MEIS2"
"ANXA11",5.03205717186076e-28,-0.412481344397111,0.328,0.461,1.02809960078287e-23,"B_Cells","ANXA11"
"FBXL3.1",5.50966442961364e-28,-0.410385521263776,0.124,0.286,1.12567953961436e-23,"B_Cells","FBXL3"
"PPP2R1A",5.56929902877183e-28,-0.423338904343913,0.25,0.395,1.13786348456837e-23,"B_Cells","PPP2R1A"
"PDLIM4.1",6.40852526343624e-28,-0.376690470654348,0.015,0.141,1.30932579657266e-23,"B_Cells","PDLIM4"
"MS4A6A.1",6.54919846124833e-28,-0.93783370172454,0.045,0.179,1.33806673761765e-23,"B_Cells","MS4A6A"
"TCF4.1",7.27320953665042e-28,-0.39321213075613,0.19,0.366,1.48598944043305e-23,"B_Cells","TCF4"
"STK17B.1",7.86244688765009e-28,0.258878982638215,0.365,0.201,1.60637652361579e-23,"B_Cells","STK17B"
"NDUFB6",7.9882934538692e-28,-0.459361742439566,0.235,0.369,1.63208823556002e-23,"B_Cells","NDUFB6"
"LINC00116",9.5661850200198e-28,-0.391370368338314,0.114,0.266,1.95446726144025e-23,"B_Cells","LINC00116"
"POLR2F",9.86059833633481e-28,-0.459487324800357,0.224,0.361,2.01461884609656e-23,"B_Cells","POLR2F"
"PPFIBP1",1.1317188830599e-27,-0.280275147345229,0.004,0.122,2.31221484997968e-23,"B_Cells","PPFIBP1"
