"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EWSR1",0.216014862333271,-0.286599254280987,0.22,0.257,1
"SON",0.216359731262136,-0.310284796599406,0.525,0.517,1
"UBE2K",0.216495711170701,-0.320660804976231,0.119,0.15,1
"SMARCA4",0.216997938237182,-0.278901974859392,0.102,0.137,1
"SRSF5",0.217193773077542,-0.294315186970787,0.28,0.306,1
"SNRPA1",0.217845009903069,-0.340355749334368,0.093,0.125,1
"ARID2",0.219371982036077,-0.29653563483197,0.102,0.137,1
"PPA2",0.220079658009104,-0.333578859286319,0.093,0.123,1
"CD82",0.220578783575804,-0.34603205860642,0.11,0.142,1
"KCMF1",0.221777289647719,-0.308322270149814,0.11,0.144,1
"NAP1L4",0.222136652739742,-0.287856657316793,0.144,0.177,1
"RAP2B",0.222737737752301,-0.337860711132872,0.136,0.175,1
"ATF6",0.223391225300505,-0.346237210902355,0.11,0.144,1
"ARGLU1",0.224995738551586,-0.364800306283932,0.322,0.332,1
"LAMTOR4",0.225380167212685,-0.311245457314492,0.144,0.173,1
"ABL2",0.225394650352621,-0.264618176646586,0.136,0.172,1
"NDUFA1",0.226022639244649,-0.326985731467332,0.28,0.298,1
"NEMF",0.226032217219767,-0.363518369540181,0.186,0.226,1
"PPT1",0.227486237689468,-0.395111274783852,0.229,0.257,1
"GPX1",0.228185014576728,-0.737574926659172,0.254,0.267,1
"SYNGR2",0.228217723718146,-0.323091665760007,0.144,0.173,1
"LOC729683",0.229557188774217,-0.368254327736246,0.076,0.106,1
"WDR33",0.230144458067656,-0.369946467088797,0.093,0.123,1
"RNF168",0.230289654727722,0.25229316896978,0.11,0.081,1
"CYB5B",0.232616367765434,-0.296449452970063,0.102,0.133,1
"TCAF1",0.232942654414032,-0.405425509769159,0.102,0.131,1
"HPS1",0.233454643448417,-0.297225674209595,0.093,0.126,1
"RPS4Y1",0.233788520420704,-0.327738972495136,0.28,0.306,1
"LSM7",0.234039988098803,-0.300443440892642,0.102,0.13,1
"CUL4A",0.239017217305734,-0.283661941432958,0.093,0.124,1
"HMGN4",0.240117329402958,-0.389506840012204,0.161,0.185,1
"IVD",0.240923165987269,-0.410893798323608,0.178,0.204,1
"CWF19L2",0.24197026639995,-0.287312986193454,0.093,0.125,1
"SLC25A28",0.242674746695778,-0.273230631972666,0.076,0.107,1
"GPS2",0.243353151487426,-0.406391746216921,0.254,0.291,1
"TRIM33",0.243973805276288,-0.359204034883517,0.203,0.236,1
"RBM26",0.244376427579177,-0.262372533508838,0.178,0.215,1
"HDAC1",0.244534339656869,-0.328364382631404,0.144,0.17,1
"UBAP2L",0.244799419426667,-0.313787491476693,0.093,0.125,1
"UVSSA",0.246094914812143,-0.384252984028325,0.076,0.104,1
"CDC40",0.246808887463311,-0.294710619127223,0.11,0.141,1
"ZNF665",0.24883885016088,-0.321199993352444,0.085,0.116,1
