"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ASPN",1.85883929827235e-288,2.71503974272784,0.593,0.018,3.39851588903134e-284
"THBS2",4.60213419931849e-269,3.30281129994187,0.771,0.04,8.414081956614e-265
"ANTXR1",1.7827951761112e-261,2.58631697977538,0.636,0.025,3.25948442048412e-257
"AEBP1",2.05182494350616e-260,3.57274262539599,0.805,0.047,3.75135154421232e-256
"ADH1B",1.07161821204477e-258,3.42113229659008,0.661,0.028,1.95923957708145e-254
"PDGFRB",6.97978285483776e-250,2.33094462684176,0.602,0.023,1.27611369934999e-245
"NOTCH3",1.55310936939654e-241,2.76565488509276,0.653,0.03,2.8395498600677e-237
"LTBP1",1.2909160825876e-234,3.2660729250828,0.771,0.048,2.36018187379492e-230
"PRRX1",2.30228951103563e-223,2.04824068170792,0.5,0.017,4.20927591302645e-219
"MXRA8",9.08628303414241e-217,1.85957204458404,0.483,0.016,1.66124512713226e-212
"PLS3",6.94545282916835e-211,2.50174022803746,0.703,0.043,1.26983714075685e-206
"FRZB",2.32940917040041e-209,1.80685912054158,0.483,0.017,4.25885878624307e-205
"ECM2",5.59703210482126e-208,1.81246605085896,0.483,0.017,1.02330537972447e-203
"MYLK",7.68628325638936e-207,2.3292659842622,0.593,0.029,1.40528316776567e-202
"TBX2",8.21794176159525e-207,1.86288243373199,0.364,0.008,1.50248629227246e-202
"MAP1B",3.97374359050407e-206,3.08974779789734,0.746,0.051,7.26519540651859e-202
"SOD3",3.25589831630624e-203,2.85192149957604,0.61,0.033,5.9527588917027e-199
"MFAP4",1.66807921535468e-200,2.6842702163407,0.492,0.019,3.04974922943296e-196
"PLAC9",1.79890172459902e-199,1.78254866572871,0.449,0.015,3.28893202308439e-195
"CALD1",5.54680294821757e-199,3.56185367235261,0.924,0.093,1.01412198302262e-194
"TMEM47",6.02623392203583e-197,2.23251924503988,0.593,0.031,1.10177634796581e-192
"GUCY1A1",8.11856161521946e-193,2.98077047376877,0.644,0.039,1.48431662011057e-188
"MYH10",5.63576839199953e-192,2.93516406655626,0.678,0.045,1.03038753510927e-187
"PDE5A",2.66771401173637e-189,2.171111340601,0.483,0.02,4.8773815276576e-185
"COL14A1",3.88607660154739e-189,2.94122398534262,0.695,0.048,7.10491385060909e-185
"FSTL1",1.93632384926141e-188,2.47023247689245,0.78,0.062,3.54018089360463e-184
"ITGBL1",8.73834956603592e-187,2.18469201350073,0.508,0.023,1.59763245115835e-182
"NOV",1.07711053543116e-186,2.85924959637247,0.517,0.024,1.96928119192879e-182
"MFGE8",1.3010637259706e-185,2.36966174768089,0.644,0.041,2.37873481019204e-181
"TAGLN",6.27600638327387e-182,4.04070894668812,0.873,0.093,1.14744224705396e-177
"MYL9",1.75446497307036e-181,3.20114162571756,0.788,0.069,3.20768831026454e-177
"ADIRF",7.66127184719284e-178,3.16510960290628,0.839,0.084,1.40071033182227e-173
"ID4",1.21404150822104e-177,1.97499702751284,0.432,0.017,2.21963208948052e-173
"CRYAB",1.35260865119781e-176,2.35083480914655,0.61,0.038,2.47297439698496e-172
"OGN",2.22817642561426e-175,4.06114025954719,0.873,0.096,4.07377495895056e-171
"PDLIM3",1.21136679125228e-172,2.00157116628508,0.466,0.021,2.21474190444654e-168
"SLIT1",2.59522691811828e-171,2.02620883830841,0.5,0.025,4.74485337439565e-167
"ANO1",1.26236800730364e-161,1.42550290044456,0.322,0.009,2.30798742775324e-157
"IGFBP2",2.09106767971702e-160,2.13795659009661,0.585,0.039,3.82309903882664e-156
"NR2F2",1.76119872494485e-159,2.67664934237083,0.729,0.065,3.21999962881667e-155
"TFPI2",2.89570365783652e-159,1.99119852775373,0.246,0.004,5.29421499762252e-155
"EFHD1",8.38824412004979e-159,1.38248150260099,0.373,0.013,1.5336226724687e-154
"CYBRD1",5.20941386876881e-157,2.38101073796292,0.661,0.053,9.52437137627002e-153
"ISLR",1.71175437948225e-156,2.10599264575714,0.492,0.027,3.12960053200739e-152
"LRRC17",1.6373254567623e-155,1.56278731610252,0.356,0.013,2.99352213259852e-151
"CDH13",1.37827327480512e-154,2.10571922072904,0.576,0.039,2.5198970283262e-150
"C1R",4.13711931398427e-154,2.51459040319782,0.686,0.058,7.56389524175745e-150
"NDUFA4L2",1.91412595300704e-151,1.85017011390677,0.398,0.017,3.49959647988277e-147
"AKAP12",3.88594151103658e-151,1.82750411759226,0.5,0.029,7.10466686462818e-147
"LMOD1",7.02816073730097e-148,1.92009189375138,0.381,0.016,1.28495862760074e-143
"PCOLCE2",1.34581582419273e-147,1.8184610403962,0.331,0.011,2.46055507137156e-143
"FHL1",1.51131408264467e-147,3.18726316623766,0.72,0.073,2.76313553729925e-143
"C11orf96",2.84213283993867e-145,2.80701583386378,0.525,0.034,5.19627147125986e-141
"COL1A2",3.33115737202244e-145,3.5399381515378,0.864,0.111,6.09035502326863e-141
"LHFPL6",9.50788598011399e-145,2.17025993094752,0.585,0.044,1.73832679374424e-140
"PPP1R14A",2.72308873606618e-143,1.83581749159697,0.466,0.026,4.9786231361498e-139
"EMILIN1",2.67978106806537e-141,1.50209431833116,0.364,0.015,4.89944372674391e-137
"MRVI1",7.48678420236366e-141,1.55748530701388,0.356,0.014,1.36880875571815e-136
"TPM2",1.80200987409385e-140,2.67073127969811,0.729,0.075,3.29461465280578e-136
"RGS5",1.9280417814324e-139,3.98237464292951,0.627,0.057,3.52503878899285e-135
"EFEMP1",5.39175175136085e-139,3.42577863574132,0.873,0.122,9.85773972701303e-135
"DKK3",1.02883531274858e-138,2.66710519827248,0.661,0.063,1.88101960229824e-134
"C1S",6.53004575459002e-137,2.40319366842112,0.636,0.057,1.19388826531169e-132
"COL12A1",2.92296928701988e-136,1.50792072691016,0.364,0.016,5.34406474745845e-132
"IGFBP6",4.36861195088347e-136,2.11039336687913,0.415,0.022,7.98713322980025e-132
"RERG",4.70551352653542e-135,0.976454540220769,0.22,0.004,8.60309038056471e-131
"SPARCL1",2.3145402024949e-134,3.27254262194665,0.78,0.095,4.23167385222143e-130
"HEYL",3.28266370302467e-134,1.35533398453685,0.305,0.011,6.00169404824e-130
"TPM1",8.74048089027322e-134,2.69686719730012,0.712,0.076,1.59802212116865e-129
"CRLF1",3.30946035404151e-133,1.30160483031054,0.195,0.003,6.05068636529409e-129
"ARHGEF17",2.70822986485078e-131,1.11337476129697,0.263,0.007,4.95145666190668e-127
"PCOLCE",3.27344735770147e-129,2.07089557276956,0.449,0.028,5.9848438040856e-125
"JAG1",4.85136147226751e-128,1.66291446464007,0.483,0.032,8.86974417974669e-124
"LTBP2",1.41917854864777e-127,3.04061034603928,0.72,0.085,2.59468414049271e-123
"MRGPRF",3.80282924951345e-127,0.797982095608908,0.178,0.003,6.95271271688545e-123
"FXYD1",4.19207546022806e-127,1.68210592673536,0.449,0.028,7.66437156393497e-123
"BTF3P11",4.28701208160346e-126,2.15930068808637,0.314,0.013,7.83794418879561e-122
"LOXL1",2.48721406482483e-125,1.27835113540055,0.297,0.011,4.54737347471924e-121
"MYH11",3.70576763992212e-125,3.33628541460941,0.644,0.067,6.77525497606961e-121
"SFRP4",1.53072371272508e-124,1.85396675343935,0.297,0.011,2.79862216397527e-120
"COL6A2",2.07375441144918e-123,2.76023437636267,0.763,0.098,3.79144519045253e-119
"IGFBP5",2.70640152126585e-123,3.31784909480279,0.856,0.133,4.94811390133036e-119
"NFIB",3.34453792274547e-123,2.17157110009896,0.763,0.092,6.11481868415554e-119
"NFIX",8.21181955774031e-123,1.63816635065899,0.542,0.044,1.50136696974166e-118
"COL6A1",2.26420847762931e-122,2.5932763622382,0.771,0.1,4.13965235964968e-118
"EPS8",4.12414218086498e-119,1.68469141909918,0.432,0.028,7.54016914927543e-115
"GEM",1.0098942363775e-118,1.85431302277227,0.356,0.018,1.84638963236899e-114
"SULF1",1.00205020616611e-117,2.44439817746972,0.737,0.092,1.8320483919335e-113
"PALLD",4.12495516505287e-117,2.03807092359487,0.568,0.051,7.54165552826616e-113
"LUM",4.95824706193522e-117,3.05972164380806,0.398,0.024,9.06516310333616e-113
"LRRC32",4.87668443504065e-116,1.55694630008857,0.364,0.02,8.91604215258482e-112
"AGT",2.64198176041354e-115,2.433120009834,0.407,0.026,4.83033525256407e-111
"C1QTNF1",2.94976396847503e-115,1.93670011644549,0.551,0.049,5.3930534635629e-111
"SSPN",3.52313328594336e-115,1.74338273738488,0.424,0.028,6.44134458669024e-111
"PDGFRA",1.97685664870124e-114,1.21827050996479,0.314,0.014,3.61428701082048e-110
"PDE1A",2.64299040365297e-114,1.07652527276898,0.263,0.009,4.83217935499873e-110
"SPARC",3.14052099837353e-114,3.32427466501863,0.924,0.181,5.74181454132632e-110
"CXCL12",1.06232709558269e-113,2.0848557566229,0.517,0.044,1.94225262885384e-109
"AQP1",1.95473920443621e-113,2.40338370578559,0.763,0.102,3.57384968747073e-109
"LAMA2",5.41318137193627e-112,1.25784472418316,0.322,0.015,9.89691950231109e-108
"BGN",1.17164708896202e-110,3.73586044268122,0.932,0.203,2.14212237274926e-106
"CTGF",4.29202599459445e-110,3.5776713697316,0.636,0.073,7.84711112591703e-106
"TFPI",3.00974643633456e-109,1.69595135448052,0.458,0.035,5.50271940955048e-105
"VCAN",1.52513134324262e-108,3.12113602784477,0.831,0.136,2.78839763485048e-104
"PFN2",3.54080558018147e-108,1.7069699883956,0.381,0.024,6.47365484224578e-104
"CAVIN1",5.97486475218093e-108,2.32662306515902,0.788,0.113,1.09238452264124e-103
"RCAN2",1.24354930933048e-107,1.82603686990711,0.398,0.026,2.27358120224892e-103
"SERPING1",2.39746332467882e-107,2.34216363773326,0.695,0.09,4.38328219651029e-103
"GULP1",1.32547286240803e-106,0.943587171660789,0.254,0.009,2.42336203434059e-102
"FBLN5",1.49922319542386e-106,2.28998321747437,0.653,0.079,2.74102976819343e-102
"MRC2",1.72174480335209e-106,1.52219063617002,0.39,0.025,3.14786602396862e-102
"COL3A1",1.82809412468008e-105,2.69251441319231,0.729,0.102,3.34230448815259e-101
"PTPRS",2.92219873637288e-103,1.08107749269672,0.314,0.016,5.34265594971055e-99
"C2orf40",9.477346684628e-103,1.29001068837753,0.254,0.01,1.73274329435054e-98
"FN1",2.74172237743548e-102,3.6776556939726,0.941,0.227,5.01269102266528e-98
"IL33",5.08005223772176e-102,1.69130382523779,0.525,0.05,9.28785950622669e-98
"CLIC4",6.38811373179692e-102,1.95397839149395,0.653,0.081,1.16793883358443e-97
"SMOC2",1.55118490587847e-101,1.34353311483369,0.297,0.015,2.83603136341761e-97
"PLN",2.87084684865167e-101,1.48839344287387,0.305,0.016,5.24876929338984e-97
"ITGA8",3.17742637887354e-101,1.31468316170096,0.254,0.01,5.80928864849449e-97
"CFH",6.83496529418711e-101,3.09609620130989,0.627,0.081,1.24963670473623e-96
"FMOD",1.59973199428543e-100,1.46924901364203,0.322,0.018,2.92479000515204e-96
"FOXC1",6.9422489692444e-100,1.70504727783375,0.492,0.044,1.26925137904695e-95
"COL6A3",1.15991556195744e-99,1.28430608537796,0.297,0.015,2.12067362192679e-95
"WWTR1",4.34032742123082e-99,1.92657375765138,0.542,0.055,7.9354206242363e-95
"GAP43",6.54299058359145e-99,1.32786941024301,0.254,0.011,1.19625496839802e-94
"DPYSL3",9.06576270982215e-99,1.62944825170546,0.458,0.038,1.65749339623678e-94
"PCDH7",2.01285473517509e-97,1.82379851311607,0.424,0.034,3.68010231232062e-93
"RGS4",3.25389385835277e-97,1.12039315043273,0.22,0.008,5.94909414122638e-93
"HTRA1",4.31147507630833e-97,1.98724273224476,0.61,0.073,7.88266988201451e-93
"AOC3",4.79973793955143e-96,1.05431026935861,0.254,0.011,8.77536087488189e-92
"APCDD1",5.57765165763418e-95,0.998007776906901,0.169,0.004,1.01976205256526e-90
"RARRES2",3.01418511580063e-94,1.09795833096014,0.229,0.009,5.5108346472183e-90
"SDC2",4.83502532304701e-94,1.58114421120203,0.534,0.055,8.83987679812684e-90
"CCDC80",5.68691017905146e-94,3.34350929599043,0.517,0.054,1.03973778803598e-89
"GPX3",1.28236480059604e-92,1.93772326480309,0.534,0.058,2.34454756492974e-88
"COL18A1",1.92155362675447e-92,2.36244105134086,0.525,0.058,3.51317649579521e-88
"GATA6",2.37348446559127e-91,1.36758701596881,0.305,0.018,4.33944164844052e-87
"PRKG1",3.61778335351994e-91,1.04052747650814,0.246,0.011,6.61439330524051e-87
"CNN1",6.2832254517297e-91,1.01100641279689,0.178,0.005,1.14876210933974e-86
"FBN1",5.92219080633798e-90,1.28721573893762,0.398,0.032,1.08275414512277e-85
"RBMS3",1.12850150762983e-89,1.31527076057078,0.458,0.042,2.06323930639963e-85
"MIR100HG",2.26966873949447e-88,1.12204997187767,0.271,0.014,4.14963535641773e-84
"SVIL",9.47298155444205e-88,1.58385732522256,0.483,0.05,1.73194521759864e-83
"OMD",1.68030577155215e-87,2.36651738719191,0.458,0.045,3.07210304212879e-83
"LIMCH1",7.28683407563092e-87,1.5358442294511,0.449,0.043,1.3322518740476e-82
"DMD",9.77567517728492e-86,1.29658892725883,0.305,0.019,1.787286692663e-81
"ITGB5",1.05164026122597e-85,1.60137208916405,0.441,0.042,1.92271388959944e-81
"FMO2",1.09277556240819e-85,1.61858468513597,0.322,0.022,1.99792156075089e-81
"SELENOM",2.20495103770763e-85,1.7603366887404,0.61,0.083,4.03131198224085e-81
"NEXN",6.74424063250503e-85,1.47352127856962,0.339,0.024,1.23304951484089e-80
"EDIL3",1.90846072333188e-83,0.962376914653231,0.22,0.009,3.48923874046768e-79
"TMEM30B",2.26917347184263e-83,0.973616520762888,0.246,0.012,4.14872985856988e-79
"GNG12",4.44994658151256e-83,1.44246384871914,0.424,0.04,8.13583733497942e-79
"HSPB6",1.33943813409955e-82,1.74195860389341,0.432,0.042,2.44889474057421e-78
"PRELP",1.3784199641305e-82,3.03240848034444,0.873,0.224,2.52016522041979e-78
"A2M",2.22799500563852e-82,2.34269331171607,0.636,0.097,4.0734432688089e-78
"C1orf198",5.2021691940905e-82,1.40774683787179,0.407,0.037,9.51112593755566e-78
"CCDC3",1.03120466607435e-81,1.45753143725609,0.339,0.025,1.88535149098374e-77
"CYR61",1.01998427481756e-80,2.16856859337416,0.398,0.036,1.86483724964895e-76
"SYNPO",3.08096012287332e-80,1.64359588896242,0.559,0.072,5.63291939264929e-76
"IGFBP7",3.33495786714817e-80,3.51967656243097,0.949,0.347,6.097303468507e-76
"TRL-AAG2-3",3.85722122279642e-80,0.789010308901412,0.136,0.003,7.05215756163869e-76
"GPC6",6.19272253060337e-80,1.03546285004492,0.22,0.01,1.13221546027021e-75
"TCEAL9",7.98917319413327e-80,1.15068096516779,0.398,0.036,1.46066053508338e-75
"NFIA",1.86066860521521e-79,2.14709978486306,0.686,0.118,3.40186041091497e-75
"COL8A1",3.40647290080668e-79,1.65508741661964,0.373,0.032,6.22805440454485e-75
"VASN",1.10537004849058e-78,0.744765770413903,0.169,0.005,2.02094805965533e-74
"LAMB2",2.51700983343497e-78,1.33737123048106,0.432,0.043,4.60184907846916e-74
"CAVIN3",9.44765733614585e-78,1.84056690466759,0.483,0.056,1.72731519076754e-73
"ANG",1.15056895121989e-77,1.37684862014117,0.314,0.023,2.10358521351533e-73
"HSPB2",1.51890213663936e-77,0.66455608625002,0.136,0.003,2.77700877641774e-73
"DSTN",2.32605498066075e-77,2.53333303622809,0.805,0.182,4.25272632114204e-73
"MYO1B",2.49576190512486e-77,1.05824135355163,0.246,0.013,4.56300149113978e-73
"LRP1",7.74645622406574e-76,1.87741253737846,0.627,0.097,1.41628459144594e-71
"COX7A1",8.96175837023308e-76,1.03423702829857,0.288,0.019,1.63847828282971e-71
"SGCB",1.1082933047603e-75,1.1536096527253,0.339,0.027,2.02629264909326e-71
"SYDE1",1.35482488708078e-75,0.824479192381514,0.178,0.007,2.4770263410498e-71
"DACT3",1.45756970838543e-75,0.88498101222185,0.169,0.006,2.66487469784108e-71
"INHBA",2.09159502776914e-75,1.19031139467156,0.263,0.016,3.82406318927031e-71
"KANK2",3.09318517949904e-75,1.5153178300012,0.39,0.037,5.65527046367809e-71
"COL1A1",3.7587742705622e-75,2.03426142194337,0.678,0.114,6.87216699886887e-71
"COL4A2",5.36120165179435e-75,2.07090154656781,0.593,0.091,9.8018849799756e-71
"NPY1R",2.03904947688792e-74,1.02764481161843,0.178,0.007,3.72799415859418e-70
"SYNPO2",3.66389744366779e-74,1.53839521520328,0.39,0.038,6.69870369625781e-70
"CNN3",4.06292425989913e-74,1.24608551966551,0.364,0.032,7.42824442437358e-70
"GSN",4.45282881937393e-74,3.05530169243614,0.856,0.224,8.14110693046136e-70
"TNS1",5.60545994721332e-74,1.97052517784185,0.585,0.087,1.02484624214901e-69
"PRDM6",5.65259944296466e-74,0.918817105180313,0.178,0.007,1.03346475615723e-69
"ACTA2",6.52500342506313e-74,3.88893183373851,0.737,0.162,1.19296637620429e-69
"TIMP2",9.79323681383247e-74,2.26305446186951,0.78,0.169,1.79049748667299e-69
"EPAS1",1.246407955529e-73,2.45578275821149,0.746,0.156,2.27880766509368e-69
"COL4A1",1.5784403852918e-73,1.36789571076429,0.424,0.044,2.885862556429e-69
"RBPMS",3.10674084599121e-73,1.59168176163922,0.415,0.044,5.68005428872572e-69
"TBX18",4.05846645015613e-72,0.728013060767899,0.161,0.005,7.42009421082046e-68
"SPRY1",1.39941938393827e-71,1.48256707914878,0.347,0.031,2.55855845965434e-67
"SEPT4",1.59636961711661e-71,0.804883450284113,0.212,0.011,2.91864257097429e-67
"PRSS23",6.19272099013664e-71,1.69047027600326,0.5,0.065,1.13221517862668e-66
"COL5A1",2.13297087973854e-70,1.24467245433169,0.339,0.029,3.89971065942598e-66
"TGFB1I1",3.45165770527743e-70,1.34519672537784,0.364,0.035,6.31066578255873e-66
"TWIST1",1.64168568953316e-69,0.584102836567927,0.144,0.004,3.00149394617347e-65
"MATN2",1.92806835261386e-69,1.19985733775992,0.331,0.028,3.52508736908392e-65
"ANGPT1",2.16064911355168e-69,0.994509218367943,0.229,0.013,3.95031477430653e-65
"MGP",2.47331086349728e-69,4.12434371084861,0.983,0.501,4.52195425173208e-65
"CPE",3.19796460369817e-69,1.94771589987322,0.347,0.032,5.84683868494136e-65
"THRB",1.0220454418635e-68,1.07038776793635,0.229,0.013,1.86860568135904e-64
"OLFML3",1.13244876744653e-68,0.830825350443648,0.178,0.007,2.07045608152249e-64
"JAM3",1.15973537640738e-68,1.02895290867359,0.28,0.02,2.12034418868561e-64
"PHLDB1",3.42167564717192e-68,1.26792282661139,0.288,0.022,6.25584958572442e-64
"GGT5",5.57507805471041e-68,1.10070311702433,0.237,0.015,1.0192915207427e-63
"TSC22D1",2.53536471610382e-67,1.73541280361753,0.475,0.062,4.63540731045261e-63
"PARM1",2.98374972656905e-67,1.20571373967961,0.263,0.018,5.4551896250862e-63
"MYO1D",7.25044189494989e-67,1.24335395728899,0.415,0.047,1.32559829165369e-62
"CD9",1.38433269081163e-66,2.04039974644918,0.712,0.144,2.5309754586109e-62
"RADIL",2.61460189377633e-66,0.571179383392754,0.102,0.002,4.78027664239126e-62
"ITGA11",5.7482605041267e-66,0.85679626348037,0.203,0.011,1.05095446796948e-61
"LARP6",1.92472260040421e-65,0.673233325327317,0.169,0.007,3.51897033031901e-61
"ZNF503",2.66797696886038e-65,1.39408238774899,0.347,0.034,4.87786229216743e-61
"STEAP1",4.46567889195461e-65,0.719517082906458,0.136,0.004,8.16460071816062e-61
"EPHA3",1.27700804036394e-64,0.693473204988111,0.144,0.005,2.33475380019739e-60
"OLFML1",1.38981064220806e-64,0.92142209254291,0.195,0.01,2.54099079714899e-60
"CAV1",2.91118529806503e-64,1.60972856509727,0.627,0.11,5.32252008045229e-60
"CSPG4",1.84438381211446e-63,0.854014890386319,0.186,0.009,3.37208692368887e-59
"INMT",1.93620230584072e-63,1.13478445262671,0.322,0.03,3.53995867576858e-59
"PLPP3",2.07240155038257e-63,1.53276629942442,0.398,0.046,3.78897175456445e-59
"SORBS1",3.22841959252462e-63,1.15001155638471,0.246,0.017,5.90251954101276e-59
"NXPH3",3.77535576417211e-63,0.601297923594306,0.136,0.004,6.90248294363587e-59
"LTBP4",1.6592572413843e-62,2.01231296502332,0.669,0.141,3.03362001442292e-58
"TM4SF1",3.9153740997861e-62,1.77849470747012,0.576,0.097,7.15847846663893e-58
"LAMB1",5.94691707203668e-62,1.41580848427211,0.432,0.055,1.08727484828047e-57
"HEY2",6.68706713893555e-62,0.895564265291476,0.203,0.012,1.22259648501159e-57
"COL5A2",1.34070679159625e-61,1.33088634745235,0.297,0.026,2.45121422707542e-57
"EBF1",2.42320808988168e-61,1.34573213164183,0.339,0.034,4.43035135073067e-57
"CPED1",3.90099549265419e-61,0.975760277255552,0.254,0.019,7.13219005921966e-57
"FKBP10",6.17224982165411e-61,0.777475365126464,0.195,0.011,1.12847243489302e-56
"BRINP1",1.71485341706471e-60,0.49849310412685,0.102,0.002,3.13526650241941e-56
"YAP1",1.96071344328452e-60,1.08750453300074,0.288,0.025,3.58477238835708e-56
"GLT8D2",6.45953209708047e-60,1.04911223930389,0.229,0.016,1.18099625330922e-55
"TCF4",7.35835433115466e-60,1.93225567222722,0.712,0.161,1.34532792236501e-55
"KITLG",1.36800108339164e-59,0.998374194228931,0.178,0.009,2.50111638076494e-55
"CX3CL1",2.09970854624088e-59,1.01672386797674,0.246,0.018,3.8388971350922e-55
"TEAD1",4.86889854184383e-59,1.17626903109654,0.288,0.026,8.90180720405307e-55
"PLSCR4",1.25955486212212e-58,1.26528103623671,0.364,0.041,2.30284415441787e-54
"CAV2",1.73522049681601e-58,1.33095984348485,0.585,0.102,3.17250363432871e-54
"HEPH",2.07813004724331e-58,0.540241565125656,0.136,0.005,3.79944516537495e-54
"PAM",2.40190910886688e-58,1.49314212503082,0.542,0.091,4.39141042374132e-54
"TINAGL1",2.54681569410546e-58,1.46729205388171,0.483,0.073,4.65634313353302e-54
"EPDR1",2.95985871081151e-57,0.862030572437111,0.186,0.011,5.41150968097668e-53
"ITGA10",3.19277368600659e-57,1.12999052224719,0.322,0.033,5.83734813012585e-53
"CTTN",3.66850064771838e-57,1.06186454478089,0.322,0.033,6.70711973422351e-53
"WISP2",5.13542750554578e-57,0.687330487629135,0.127,0.004,9.38910210838935e-53
"GAS6",7.81218946892904e-57,1.55892963828791,0.5,0.079,1.4283026006043e-52
"PLPP1",8.79326627296675e-57,1.01837312908061,0.246,0.019,1.60767287268651e-52
"EFEMP2",1.04485550207696e-56,0.8730407979881,0.22,0.015,1.91030931444731e-52
"PTGIS",1.25828949894499e-56,1.77142644548887,0.525,0.09,2.30053069092112e-52
"FIBIN",2.09852965516634e-56,0.889240375333634,0.169,0.009,3.83674176854062e-52
"CDH11",2.35724198120906e-56,0.83514175657023,0.246,0.019,4.30974551424452e-52
"NNMT",3.41263252032535e-56,1.26566163553041,0.331,0.035,6.23931603691084e-52
"PRUNE2",3.81848867531665e-56,0.870974903162478,0.203,0.013,6.98134284508144e-52
"FOXS1",1.03789985374306e-55,0.465887495000905,0.102,0.003,1.89759230259844e-51
"FILIP1L",1.41978287449056e-55,1.51495371272546,0.297,0.029,2.59578902943108e-51
"COL21A1",1.43237821699343e-55,0.902976057542474,0.186,0.011,2.61881709412908e-51
"TGM2",1.52063719663422e-55,1.58329517983318,0.424,0.058,2.78018098660634e-51
"DPT",3.98085339864344e-55,1.03882327429972,0.178,0.01,7.27819426873981e-51
"SORT1",5.10886598684336e-55,1.42553956505389,0.407,0.055,9.34053968374571e-51
"PDE3A",1.19467868879379e-54,1.10172779561227,0.297,0.03,2.18423104672168e-50
"MSRB3",2.13747981757321e-54,1.5390605968084,0.483,0.079,3.90795435046911e-50
"FHL2",2.40800079843955e-54,1.04478320575023,0.203,0.014,4.40254785978703e-50
"HSPB8",4.51259042474991e-54,0.710260992190628,0.178,0.01,8.25036907357025e-50
"RASL12",4.8793239884452e-54,0.652783056401696,0.127,0.005,8.92086804807436e-50
"KANK1",7.2421523201813e-54,1.05977831082646,0.263,0.023,1.32408270869875e-49
"PBX1",8.6382583185625e-54,1.42035836422771,0.381,0.049,1.57933276838278e-49
"SSC5D",1.41604598085866e-53,1.03113382655274,0.203,0.014,2.58895686680389e-49
"SLC30A3",1.59523385375865e-53,0.48643832381388,0.102,0.003,2.91656605482694e-49
"FBLN1",1.07676685294194e-52,1.83288481204725,0.398,0.056,1.96865283723376e-48
"PTN",1.42340875383792e-52,0.756716780673445,0.127,0.005,2.60241822464186e-48
"PTK2",2.09756087331955e-52,1.06772729453674,0.305,0.032,3.83497054469013e-48
"PHLDB2",2.39852461252548e-52,1.01415891206085,0.339,0.039,4.38522254908033e-48
"EFS",2.43794985524294e-52,0.49614863529278,0.119,0.004,4.45730372034066e-48
"LGALS3BP",3.28387323836379e-52,1.4850929334539,0.407,0.058,6.00390544170052e-48
"PPP1R3C",5.74261230817446e-52,0.828521935893601,0.169,0.01,1.04992180830354e-47
"PKIG",5.76672587073753e-52,1.12295087238379,0.322,0.036,1.05433049094694e-47
"SUGCT",9.11113931564145e-52,0.637932801075788,0.153,0.008,1.66578960107873e-47
"RNF180",1.47051609398233e-51,0.540637339375422,0.144,0.007,2.68854457462789e-47
"UACA",1.95397600503166e-51,1.88518973863566,0.449,0.074,3.57245432999939e-47
"DST",2.60946402059304e-51,1.33643064723075,0.441,0.067,4.77088306885026e-47
"PGF",4.54135514083998e-51,0.868335630214858,0.153,0.008,8.30295960399774e-47
"TWSG1",5.21897910462652e-51,1.17210426568018,0.331,0.039,9.54185949698867e-47
"SEMA5A",1.00128660707044e-50,1.17715649332425,0.322,0.037,1.83065230370689e-46
"RBFOX2",1.07072628707151e-50,1.14743513031965,0.297,0.032,1.95760887065284e-46
"SPTBN1",1.30999700624821e-50,1.90734588852931,0.72,0.187,2.39506752652359e-46
"RRAS",3.29268841812399e-50,1.31694920104306,0.415,0.061,6.02002223485609e-46
"ABCA8",1.25863932236e-49,0.70242991192109,0.178,0.011,2.30117027307078e-45
"HSPB7",1.86130090631691e-49,0.500446812426763,0.102,0.003,3.4030164470192e-45
"CDC42EP1",2.85441900517251e-49,1.32027163667263,0.331,0.04,5.2187342671569e-45
"ABI3BP",6.26512884813844e-49,0.918604286989593,0.22,0.018,1.14545350730515e-44
"AKR1C2",6.77268512945089e-49,0.883299185342773,0.195,0.014,1.23825002221751e-44
"SASH1",7.80877549193611e-49,1.41849428904389,0.398,0.059,1.42767842319068e-44
"NFIC",9.63282872523026e-49,1.75910907107904,0.788,0.23,1.76117007583385e-44
"GPM6B",1.9968886969873e-48,0.578687562643714,0.136,0.006,3.65091160470187e-44
"WFDC1",2.04869522848272e-48,0.722522827802654,0.136,0.006,3.74562948623496e-44
"MXRA7",2.35537957745581e-48,1.41008201339171,0.602,0.132,4.30634048146246e-44
"UNC5B",2.53030239337733e-48,1.21825627444329,0.28,0.03,4.62615186581178e-44
"TMEM45A",1.43419972513083e-47,0.549016494769195,0.136,0.007,2.62214735745669e-43
"ZFHX3",1.6173109701697e-47,1.46732003048754,0.559,0.114,2.95692964676127e-43
"CDC42BPA",2.15015336740103e-47,1.10433057153245,0.297,0.034,3.9311254016193e-43
"ID3",2.52294519288811e-47,1.44457620680178,0.356,0.049,4.61270069615734e-43
"COL16A1",3.62111592818808e-47,0.928249501858096,0.195,0.015,6.62048625150627e-43
"CHPF",5.89390570227502e-47,0.936688311718439,0.229,0.02,1.07758277954694e-42
"SGCE",1.2051578188885e-46,0.786980316942818,0.195,0.015,2.20339004027385e-42
"FAT1",1.22489046209366e-46,0.714731099177369,0.169,0.011,2.23946723184583e-42
"VIM",1.26082238155848e-46,1.88042600134873,1,0.896,2.30516156020338e-42
