"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SIGLEC10",8.01424683868469e-50,0.256365741871683,0.124,0.017,1.63739077161167e-45,"Monocyte","SIGLEC10"
"EMILIN2.1",1.14025102665773e-49,0.38888910333671,0.203,0.043,2.32964687256441e-45,"Monocyte","EMILIN2"
"PLS3.5",1.22176381068383e-49,-1.56801836136231,0.014,0.372,2.49618564160813e-45,"Monocyte","PLS3"
"MPHOSPH6.2",1.53472279651042e-49,0.589761637891137,0.326,0.098,3.13559214555043e-45,"Monocyte","MPHOSPH6"
"ITM2A.5",1.8297760975546e-49,-1.87590906794067,0.035,0.391,3.73841554491379e-45,"Monocyte","ITM2A"
"FHL1.5",4.05314977416886e-49,-2.00647526499972,0.089,0.433,8.2809903036044e-45,"Monocyte","FHL1"
"P2RY13.1",4.18495240257546e-49,0.301540376728447,0.138,0.021,8.55027625370192e-45,"Monocyte","P2RY13"
"C1S.5",6.62681700100883e-49,-2.69079955131354,0.089,0.433,1.35392498147611e-44,"Monocyte","C1S"
"ATF3.3",6.75346811962546e-49,0.502946575826071,0.578,0.244,1.37980107152068e-44,"Monocyte","ATF3"
"MAP2K1.2",9.07798229345955e-49,0.596922273705629,0.443,0.166,1.85472256237672e-44,"Monocyte","MAP2K1"
"IFITM3.5",1.34441025394357e-48,-1.4274881555062,0.855,0.843,2.74676458983211e-44,"Monocyte","IFITM3"
"CIITA.1",1.57491081143589e-48,0.281413640878651,0.147,0.024,3.21770027884467e-44,"Monocyte","CIITA"
"GRB2.2",2.09467819524874e-48,0.599171055847351,0.522,0.214,4.27963702071271e-44,"Monocyte","GRB2"
"LYL1.3",2.25358878798436e-48,0.494291242967586,0.305,0.088,4.60430725273085e-44,"Monocyte","LYL1"
"OASL",2.3437321708467e-48,0.262821224443575,0.103,0.012,4.7884791982569e-44,"Monocyte","OASL"
"TMEM71",2.70669513437444e-48,0.312453648060219,0.203,0.043,5.53004882904041e-44,"Monocyte","TMEM71"
"MYO1G.1",3.37772579067836e-48,0.309212148172408,0.221,0.049,6.90103156293495e-44,"Monocyte","MYO1G"
"PSTPIP1.1",3.46387007057295e-48,0.282114959966631,0.184,0.036,7.07703294118759e-44,"Monocyte","PSTPIP1"
"RAC2.4",4.07375637622791e-48,0.331736063269785,0.464,0.163,8.32309165227125e-44,"Monocyte","RAC2"
"S100A4.5",4.40710634308173e-48,0.863838156228486,0.942,0.669,9.00415896955028e-44,"Monocyte","S100A4"
"IMPA2",4.74688715962427e-48,0.332704518503875,0.2,0.042,9.69836515582835e-44,"Monocyte","IMPA2"
"TINAGL1.4",6.3410447216631e-48,-2.04772580522041,0.026,0.373,1.29553884708299e-43,"Monocyte","TINAGL1"
"TPP1.2",6.67163594366321e-48,0.52326118554923,0.462,0.172,1.36308193964983e-43,"Monocyte","TPP1"
"PLIN2.3",1.1765070779866e-47,0.774984125925201,0.62,0.298,2.40372161103443e-43,"Monocyte","PLIN2"
"NFIB.4",1.20558520116476e-47,-1.32517574291076,0.016,0.364,2.46313112449971e-43,"Monocyte","NFIB"
"ZNF385A.4",1.61585977550112e-47,0.399271839862395,0.357,0.11,3.30136310732634e-43,"Monocyte","ZNF385A"
"GAA.2",1.61688713133553e-47,0.540232568138108,0.443,0.162,3.30346209803162e-43,"Monocyte","GAA"
"TPM3.4",5.09078307012439e-47,0.630592093929697,0.814,0.45,1.04009788905711e-42,"Monocyte","TPM3"
"BIRC3.4",6.5454195010741e-47,0.544532973515438,0.399,0.137,1.33729465826445e-42,"Monocyte","BIRC3"
"SOD1.4",1.2614027001729e-46,-1.07743114686203,0.499,0.693,2.57717185672324e-42,"Monocyte","SOD1"
"IL6R",1.38087319215513e-46,0.32651429102891,0.184,0.037,2.82126201889215e-42,"Monocyte","IL6R"
"C4orf48.4",1.49684905920709e-46,0.541277493737854,0.469,0.178,3.058212312866e-42,"Monocyte","C4orf48"
