"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SUCLG2",1.33092656508842e-10,-0.333495947806245,0.168,0.255,2.71921606513214e-06,"B_Cells","SUCLG2"
"PNISR.1",1.34740804234783e-10,-0.329840099241491,0.319,0.413,2.75288937132085e-06,"B_Cells","PNISR"
"SLC39A13",1.35234570186978e-10,-0.280727546223221,0.044,0.108,2.76297750349014e-06,"B_Cells","SLC39A13"
"SPOP",1.35341393106129e-10,-0.383714572476082,0.171,0.246,2.76516000255131e-06,"B_Cells","SPOP"
"TOR1AIP1",1.36343357539948e-10,-0.279479363270973,0.071,0.144,2.78563113789867e-06,"B_Cells","TOR1AIP1"
"ZC3H13",1.37259027586282e-10,-0.295604823564091,0.148,0.233,2.80433919261533e-06,"B_Cells","ZC3H13"
"DNAJC19.1",1.39441872211847e-10,-0.353700987654442,0.192,0.271,2.84893689116024e-06,"B_Cells","DNAJC19"
"CALCOCO1",1.47281213432367e-10,-0.311534116886878,0.046,0.109,3.00910247163669e-06,"B_Cells","CALCOCO1"
"TSR2",1.48391878176906e-10,-0.285856046994964,0.118,0.201,3.03179446303236e-06,"B_Cells","TSR2"
"CAMLG",1.49756064877938e-10,-0.38129214106106,0.255,0.33,3.05966616152115e-06,"B_Cells","CAMLG"
"HSF1",1.50799250064749e-10,-0.341606192556826,0.151,0.229,3.08097947807288e-06,"B_Cells","HSF1"
"SRSF2",1.62496889185175e-10,-0.33975292445831,0.572,0.581,3.31997394294231e-06,"B_Cells","SRSF2"
"SQRDL",1.69949765326329e-10,-0.354234120715083,0.097,0.168,3.47224365538222e-06,"B_Cells","SQRDL"
"RAB1B",1.73287839120889e-10,-0.353116742356176,0.087,0.158,3.54044384107889e-06,"B_Cells","RAB1B"
"BROX",1.74099056306391e-10,-0.281747812571643,0.082,0.157,3.55701781939588e-06,"B_Cells","BROX"
"IMMP2L.1",1.84121605641083e-10,-0.255097948115783,0.04,0.103,3.76178852485297e-06,"B_Cells","IMMP2L"
"CDC5L",1.86597959803041e-10,-0.293183814754531,0.1,0.178,3.81238291673593e-06,"B_Cells","CDC5L"
"MUM1",1.96738136528462e-10,-0.260476146640262,0.062,0.135,4.01955686741301e-06,"B_Cells","MUM1"
"MRPS36",1.98371576070479e-10,-0.394283296011462,0.189,0.266,4.05292967069595e-06,"B_Cells","MRPS36"
"PRPF38A",2.02058369966248e-10,-0.250632439239418,0.078,0.154,4.12825455678042e-06,"B_Cells","PRPF38A"
"MCFD2",2.29377102023301e-10,-0.393660430345877,0.107,0.177,4.68640357143806e-06,"B_Cells","MCFD2"
"MPHOSPH10.1",2.3039599139994e-10,-0.29970552962794,0.095,0.171,4.70722050029217e-06,"B_Cells","MPHOSPH10"
"ELF2",2.36827432670999e-10,-0.293521372691963,0.093,0.17,4.83862127690118e-06,"B_Cells","ELF2"
"RPL23A.1",2.39172082085717e-10,0.444819393469204,0.995,0.988,4.88652480909328e-06,"B_Cells","RPL23A"
"CCDC115",2.44761288578538e-10,-0.301857716801045,0.137,0.218,5.00071788694812e-06,"B_Cells","CCDC115"
"TIMM10",2.5096164243646e-10,-0.35303917492893,0.15,0.229,5.12739731661932e-06,"B_Cells","TIMM10"
"POLR2I.1",2.52717929569489e-10,-0.472309662300734,0.284,0.335,5.16328001903424e-06,"B_Cells","POLR2I"
"STX8",2.57756618001963e-10,-0.300798495874921,0.105,0.182,5.2662254623981e-06,"B_Cells","STX8"
"CUEDC2",2.80165524570774e-10,-0.374932578044857,0.151,0.223,5.72406183250549e-06,"B_Cells","CUEDC2"
"PRELID1.1",2.93920345271337e-10,-0.414562574721821,0.496,0.494,6.00508657423869e-06,"B_Cells","PRELID1"
"RPS11.1",3.05771454228906e-10,0.468480405067878,0.995,0.944,6.24721658135078e-06,"B_Cells","RPS11"
"FBXO3.1",3.05977237025696e-10,-0.285539271619168,0.056,0.123,6.25142092967199e-06,"B_Cells","FBXO3"
"MFSD10",3.1425192086077e-10,-0.345802242782969,0.13,0.209,6.42048099510639e-06,"B_Cells","MFSD10"
"GIPC1",3.3114805193024e-10,-0.259291460624769,0.053,0.119,6.76568584898673e-06,"B_Cells","GIPC1"
"PSMD6",3.31427627892624e-10,-0.362026376095847,0.159,0.231,6.7713978654742e-06,"B_Cells","PSMD6"
"ZSCAN18.1",3.36341217748489e-10,-0.311852444198938,0.085,0.156,6.87178741981937e-06,"B_Cells","ZSCAN18"
"FOXN3.1",3.41179305357744e-10,-0.304895461463633,0.084,0.157,6.97063438776407e-06,"B_Cells","FOXN3"
"YIF1A.1",3.41278538670876e-10,-0.553481383190945,0.266,0.308,6.97266182358466e-06,"B_Cells","YIF1A"
"ABI2",3.42718775914827e-10,-0.267409171972082,0.054,0.119,7.00208731071583e-06,"B_Cells","ABI2"
"NMT1",3.53668591544798e-10,-0.355078445913284,0.161,0.24,7.22580299385176e-06,"B_Cells","NMT1"
"FKBP4",3.55271147941438e-10,-0.33744546434208,0.091,0.163,7.25854482359152e-06,"B_Cells","FKBP4"
"P4HA1",3.56745520739254e-10,-0.273818335861155,0.049,0.113,7.2886677342237e-06,"B_Cells","P4HA1"
"UBAP1",3.56996532170663e-10,-0.259936127156443,0.047,0.111,7.29379614877882e-06,"B_Cells","UBAP1"
"KPNA2",3.63874626971385e-10,-0.344397296057433,0.079,0.149,7.43432250365238e-06,"B_Cells","KPNA2"
"RNASE4.1",3.66632975975577e-10,-0.325867959588942,0.052,0.115,7.49067833215701e-06,"B_Cells","RNASE4"
"RNF139",3.70644848530988e-10,-0.336138942369252,0.103,0.176,7.57264490033662e-06,"B_Cells","RNF139"
"EFCAB14",3.91746638927221e-10,-0.261671194660012,0.07,0.142,8.00377557992206e-06,"B_Cells","EFCAB14"
"NAPA",4.0812423641187e-10,-0.450708548231783,0.238,0.297,8.33838627413092e-06,"B_Cells","NAPA"
"UROD",4.0831498893232e-10,-0.363093442989248,0.133,0.204,8.34228353887623e-06,"B_Cells","UROD"
"MVB12A",4.13334551208267e-10,-0.348036034965655,0.106,0.176,8.4448382157361e-06,"B_Cells","MVB12A"
"TOMM22",4.15996592352631e-10,-0.345685096501145,0.236,0.31,8.49922637835661e-06,"B_Cells","TOMM22"
"ACOT9.1",4.18515771082797e-10,-0.323343778020195,0.087,0.156,8.55069571899264e-06,"B_Cells","ACOT9"
"PCM1",4.2219124466229e-10,-0.259172855273233,0.128,0.214,8.62578931969524e-06,"B_Cells","PCM1"
"SUB1",4.37574925059796e-10,-0.298490069513902,0.593,0.641,8.9400932938967e-06,"B_Cells","SUB1"
"ATP5D",4.57518447695999e-10,-0.32632568642984,0.605,0.593,9.34755940487696e-06,"B_Cells","ATP5D"
"CDC37L1.1",4.78263274316724e-10,-0.311920285909025,0.064,0.132,9.77139695756499e-06,"B_Cells","CDC37L1"
"UTRN",4.99616663815924e-10,-0.259918017496568,0.073,0.146,1.02076680584231e-05,"B_Cells","UTRN"
"MRPL43",5.04174835391015e-10,-0.430453148811627,0.189,0.252,1.03007960618738e-05,"B_Cells","MRPL43"
"ZDHHC3",5.3155272574766e-10,-0.269026463053314,0.056,0.12,1.08601537397504e-05,"B_Cells","ZDHHC3"
"MEA1",5.37580685674872e-10,-0.369740334242526,0.144,0.216,1.09833109890233e-05,"B_Cells","MEA1"
"MED28",5.41629333719963e-10,-0.263092643472275,0.122,0.205,1.10660289172326e-05,"B_Cells","MED28"
"HIF1A.1",5.54443472301297e-10,-0.331803367616077,0.254,0.357,1.13278345825878e-05,"B_Cells","HIF1A"
"ECE1.1",5.64306304788668e-10,-0.364322001172789,0.08,0.148,1.15293421131373e-05,"B_Cells","ECE1"
"TMED10",6.05651691704243e-10,-0.453567545751074,0.458,0.466,1.23740697132094e-05,"B_Cells","TMED10"
"SNF8",6.0627002850525e-10,-0.382237179802009,0.205,0.276,1.23867029523908e-05,"B_Cells","SNF8"
"ANKRD40",6.28517072500294e-10,-0.28430848070295,0.06,0.127,1.28412323082535e-05,"B_Cells","ANKRD40"
"AHI1.1",6.29380144988605e-10,-0.376510466673018,0.091,0.16,1.28588657422622e-05,"B_Cells","AHI1"
"RDH11",6.29678868891598e-10,-0.312351059959831,0.097,0.168,1.28649689703242e-05,"B_Cells","RDH11"
"CCDC25",6.36736433618083e-10,-0.313399993801628,0.097,0.168,1.30091620752511e-05,"B_Cells","CCDC25"
"CASP1.1",6.46480110779233e-10,-0.27546200028635,0.052,0.116,1.32082351433305e-05,"B_Cells","CASP1"
"DHX36",6.50438382045617e-10,-0.291019382939166,0.193,0.28,1.3289106583574e-05,"B_Cells","DHX36"
"TFG.1",6.59762875895323e-10,-0.467085505776701,0.237,0.29,1.34796153174173e-05,"B_Cells","TFG"
"PTEN",6.77826014736149e-10,-0.30406537697726,0.091,0.166,1.38486633070743e-05,"B_Cells","PTEN"
"MRPL17",6.90795903571375e-10,-0.388514171288899,0.085,0.148,1.41136511058668e-05,"B_Cells","MRPL17"
"ABCE1",7.01684098285959e-10,-0.287561582623103,0.102,0.179,1.43361078120804e-05,"B_Cells","ABCE1"
"C12orf10",7.05312965347634e-10,-0.267716846116164,0.099,0.173,1.44102491950175e-05,"B_Cells","C12orf10"
"ANG.1",7.1949197252274e-10,-0.348408029992393,0.091,0.161,1.46999404906121e-05,"B_Cells","ANG"
"ZMYND11",7.24549182517552e-10,-0.288160382616421,0.056,0.12,1.48032643480161e-05,"B_Cells","ZMYND11"
"RBL2",7.62570032133308e-10,-0.289161797893332,0.069,0.138,1.55800683265156e-05,"B_Cells","RBL2"
"RSRC2",7.80045625791815e-10,-0.362808678400648,0.311,0.385,1.59371121805526e-05,"B_Cells","RSRC2"
"RUVBL2",7.85472884116926e-10,-0.320287364678573,0.095,0.165,1.60479964953929e-05,"B_Cells","RUVBL2"
"REEP5",8.35920868619883e-10,-0.412855231513034,0.471,0.476,1.70786992667728e-05,"B_Cells","REEP5"
"SNX4",8.36802237737579e-10,-0.255276800896277,0.068,0.135,1.70967065192165e-05,"B_Cells","SNX4"
"ARPC3.1",8.40703462294272e-10,-0.365314748187875,0.682,0.665,1.71764124381343e-05,"B_Cells","ARPC3"
"SNAPIN",8.49434562214475e-10,-0.334430353409967,0.12,0.193,1.73547975406039e-05,"B_Cells","SNAPIN"
"ATP6V0B.1",8.49717592054611e-10,-0.542603276681664,0.487,0.475,1.73605801232678e-05,"B_Cells","ATP6V0B"
"MRPL22",8.64836709573728e-10,-0.361116636663907,0.165,0.236,1.76694788133008e-05,"B_Cells","MRPL22"
"DDX1",8.68321465786388e-10,-0.385135312272302,0.186,0.257,1.77406758674817e-05,"B_Cells","DDX1"
"SRSF6",8.81889196563767e-10,-0.363484726102717,0.251,0.33,1.80178781749943e-05,"B_Cells","SRSF6"
"MT-ND5",8.93612739693431e-10,-0.297247368710495,0.81,0.759,1.82574018846765e-05,"B_Cells","MT-ND5"
"FAM162A.1",9.38902358873328e-10,-0.344064888625861,0.164,0.238,1.9182714094141e-05,"B_Cells","FAM162A"
"TMEM115",9.39661738071717e-10,-0.364283734640621,0.082,0.144,1.91982289705433e-05,"B_Cells","TMEM115"
"SMIM4",9.47121530600432e-10,-0.351500493939449,0.089,0.155,1.93506399916974e-05,"B_Cells","SMIM4"
"ATP5G1",9.67286266670639e-10,-0.411492011763416,0.394,0.427,1.97626257143478e-05,"B_Cells","ATP5G1"
"ANAPC10",9.77423234052521e-10,-0.253379107404434,0.044,0.105,1.9969734094927e-05,"B_Cells","ANAPC10"
"HEBP2",1.00070386392612e-09,-0.351672621352374,0.114,0.184,2.04453806438746e-05,"B_Cells","HEBP2"
"MTFR1L",1.04433453694285e-09,-0.282191042346099,0.077,0.144,2.13367989242793e-05,"B_Cells","MTFR1L"
"CACYBP",1.09055352733463e-09,-0.291298440318352,0.175,0.258,2.22810991169738e-05,"B_Cells","CACYBP"
"DDA1",1.09509620590648e-09,-0.334077705989336,0.076,0.14,2.23739105828752e-05,"B_Cells","DDA1"
"FOXO3",1.09781120771931e-09,-0.496277358690826,0.159,0.221,2.24293807849133e-05,"B_Cells","FOXO3"
"VPS35.1",1.09873508861044e-09,-0.280004567744998,0.17,0.251,2.24482565953998e-05,"B_Cells","VPS35"
"MRPL57",1.14965071859367e-09,-0.48424993505014,0.275,0.321,2.34885138315873e-05,"B_Cells","MRPL57"
"SMIM19",1.18221287204459e-09,-0.35124546264655,0.146,0.218,2.4153791188743e-05,"B_Cells","SMIM19"
"NEK7",1.21708385862733e-09,-0.279757681482205,0.076,0.146,2.48662403156149e-05,"B_Cells","NEK7"
"C12orf29.1",1.28008424861532e-09,-0.294578832975047,0.058,0.121,2.61534012834595e-05,"B_Cells","C12orf29"
"RHBDD2",1.28772105141062e-09,-0.388484926044546,0.134,0.203,2.63094288013704e-05,"B_Cells","RHBDD2"
"PRR13.1",1.28819183689994e-09,-0.319873295661323,0.379,0.445,2.63190474197026e-05,"B_Cells","PRR13"
"EBNA1BP2",1.34883393074096e-09,-0.350308706173106,0.118,0.186,2.75580260389686e-05,"B_Cells","EBNA1BP2"
"KLHDC3",1.37131896535844e-09,-0.332243285818476,0.119,0.188,2.80174177812383e-05,"B_Cells","KLHDC3"
"PJA2",1.47212386532021e-09,-0.361990812779634,0.135,0.209,3.00769626923573e-05,"B_Cells","PJA2"
"RAB21",1.54572909921898e-09,-0.302033276387287,0.067,0.131,3.1580791226143e-05,"B_Cells","RAB21"
"CDK4.1",1.54991092827616e-09,-0.380615684402949,0.148,0.214,3.16662301756103e-05,"B_Cells","CDK4"
"RBM22",1.57667764210062e-09,-0.279429291898248,0.104,0.178,3.22131009057579e-05,"B_Cells","RBM22"
"ARL5A",1.7007110697699e-09,-0.380019029180293,0.277,0.341,3.47472278664688e-05,"B_Cells","ARL5A"
"PPIG",1.7535737067338e-09,-0.342023583886175,0.357,0.421,3.58272644022783e-05,"B_Cells","PPIG"
"YAF2",1.87389716262168e-09,-0.315349131474719,0.088,0.156,3.82855929295235e-05,"B_Cells","YAF2"
"PSMD13",1.93105769046199e-09,-0.39894099755898,0.249,0.307,3.94534396738289e-05,"B_Cells","PSMD13"
"ZNF330",2.02126246686384e-09,-0.282555007055621,0.075,0.141,4.12964134604952e-05,"B_Cells","ZNF330"
"RPL18",2.04084817920523e-09,0.418969547430105,0.995,0.964,4.16965691493421e-05,"B_Cells","RPL18"
"AAMP.1",2.09315723699439e-09,-0.453741440418033,0.247,0.295,4.27652955090324e-05,"B_Cells","AAMP"
"GAA.1",2.14636604102909e-09,-0.394707947061361,0.117,0.181,4.38524045842653e-05,"B_Cells","GAA"
"UBE2E1",2.29081074087847e-09,-0.367193123923797,0.178,0.249,4.6803554246888e-05,"B_Cells","UBE2E1"
"LUC7L2",2.35374998757075e-09,-0.371305686098825,0.194,0.263,4.80894659960579e-05,"B_Cells","LUC7L2"
"SRSF7",2.36880253467363e-09,-0.345205735917044,0.601,0.615,4.8397004585917e-05,"B_Cells","SRSF7"
"GRSF1",2.3737496980661e-09,-0.295923897960485,0.112,0.182,4.84980800811884e-05,"B_Cells","GRSF1"
"SEC63",2.48304923619229e-09,-0.50841252525878,0.295,0.33,5.07311789446446e-05,"B_Cells","SEC63"
"NFKBIZ.1",2.5111899723699e-09,-0.414830431401443,0.143,0.213,5.13061223254894e-05,"B_Cells","NFKBIZ"
"RAB6A",2.52601664434879e-09,-0.327119482934739,0.144,0.216,5.16090460606902e-05,"B_Cells","RAB6A"
"RPL30",2.53089082420498e-09,0.547589641668041,0.991,0.972,5.17086304293319e-05,"B_Cells","RPL30"
"RGS10.1",2.6333230783839e-09,-0.546356782309409,0.145,0.211,5.38014238144615e-05,"B_Cells","RGS10"
"BAD.1",2.66446730844373e-09,-0.418012508763149,0.189,0.249,5.44377315788138e-05,"B_Cells","BAD"
"AHCYL1",2.67636776893509e-09,-0.271802404489608,0.076,0.144,5.46808698871129e-05,"B_Cells","AHCYL1"
"SOAT1.1",2.8040594680178e-09,-0.268686958022694,0.058,0.12,5.72897389910717e-05,"B_Cells","SOAT1"
"SPAG7",3.01880180716136e-09,-0.393440293838596,0.229,0.289,6.16771397221138e-05,"B_Cells","SPAG7"
"FAAP20",3.11651571861319e-09,-0.332887832516301,0.212,0.283,6.36735326469862e-05,"B_Cells","FAAP20"
"HNRNPAB",3.13340792286973e-09,-0.38122135661177,0.17,0.237,6.40186572721516e-05,"B_Cells","HNRNPAB"
"PSMD2",3.19518507252741e-09,-0.403340399864609,0.232,0.292,6.52808262168075e-05,"B_Cells","PSMD2"
"ARMC10",3.2928560048598e-09,-0.307338424101118,0.088,0.153,6.72763410352905e-05,"B_Cells","ARMC10"
"GCSH.1",3.32078229050462e-09,-0.364960844429495,0.09,0.152,6.78469029772999e-05,"B_Cells","GCSH"
"ECI2.1",3.47375156107287e-09,-0.324814068178804,0.102,0.169,7.09722181442798e-05,"B_Cells","ECI2"
"ADSL",3.60009251611837e-09,-0.285335351691604,0.075,0.14,7.35534901968143e-05,"B_Cells","ADSL"
"ARHGAP18.1",3.63398345710392e-09,-0.351519345318768,0.067,0.127,7.42459160120903e-05,"B_Cells","ARHGAP18"
"MRPL10",3.76775545624872e-09,-0.281959894666971,0.078,0.144,7.69790117266176e-05,"B_Cells","MRPL10"
"PRMT1.1",3.83037647711747e-09,-0.37273000549107,0.345,0.395,7.8258421803987e-05,"B_Cells","PRMT1"
"FAM204A",3.84560507085543e-09,-0.32035495613919,0.177,0.251,7.85695572026472e-05,"B_Cells","FAM204A"
"RNASEH2C.1",3.91833945047189e-09,-0.495539836308323,0.281,0.32,8.00555933125913e-05,"B_Cells","RNASEH2C"
"DHRS7B",3.93148043878686e-09,-0.250069404454322,0.048,0.106,8.03240768448544e-05,"B_Cells","DHRS7B"
"JKAMP",3.99787874298226e-09,-0.372022121319253,0.133,0.197,8.16806605978706e-05,"B_Cells","JKAMP"
"LRRFIP2",4.15797932825546e-09,-0.30221455763112,0.08,0.144,8.49516756555872e-05,"B_Cells","LRRFIP2"
"NAE1.1",4.16252457860665e-09,-0.310366863303448,0.119,0.193,8.50445396655124e-05,"B_Cells","NAE1"
"MTCH2",4.44138565347856e-09,-0.277203149678817,0.1,0.168,9.07419502862204e-05,"B_Cells","MTCH2"
"COMMD1",4.69309171850092e-09,-0.354538637175028,0.122,0.186,9.58845569006922e-05,"B_Cells","COMMD1"
"ATG12",4.76532700926224e-09,-0.282842627655337,0.121,0.193,9.73603961262369e-05,"B_Cells","ATG12"
"AGPAT2.1",4.92107264894394e-09,-0.35460091845046,0.109,0.173,0.000100542435290574,"B_Cells","AGPAT2"
"CHD9.1",5.12695230846647e-09,-0.394701254379573,0.235,0.3,0.000104748762614278,"B_Cells","CHD9"
"ZFR",5.1373016991317e-09,-0.26914886087051,0.079,0.145,0.00010496021101496,"B_Cells","ZFR"
"SF3B2",5.15031026173687e-09,-0.344397625898067,0.384,0.429,0.000105225988957546,"B_Cells","SF3B2"
"ETFB",5.45139371972500e-09,-0.411069272662173,0.271,0.325,0.000111377425087701,"B_Cells","ETFB"
"PCYOX1.1",5.90717644863777e-09,-0.325687221647881,0.064,0.124,0.000120689522022118,"B_Cells","PCYOX1"
"APH1A",6.03692672820549e-09,-0.366351767403853,0.227,0.292,0.000123340449983966,"B_Cells","APH1A"
"PRPF6",6.12537301659095e-09,-0.30359261927282,0.15,0.224,0.00012514749610197,"B_Cells","PRPF6"
"ERICH1",6.20483332830889e-09,-0.256150431940171,0.113,0.188,0.000126770949730679,"B_Cells","ERICH1"
"CCT8",6.5489758230346e-09,-0.35719460288659,0.401,0.443,0.00013380212504042,"B_Cells","CCT8"
"KLF2.1",6.6158023109165e-09,-0.733216707194087,0.237,0.291,0.000135167457014335,"B_Cells","KLF2"
"MRPL54",6.77171986623442e-09,-0.422785469034165,0.23,0.283,0.000138353008587035,"B_Cells","MRPL54"
"RBMX.1",6.99012315304803e-09,-0.281814389447613,0.416,0.481,0.000142815206139924,"B_Cells","RBMX"
"TMX1",7.44657815578424e-09,-0.374999756308944,0.178,0.242,0.000152141038300828,"B_Cells","TMX1"
"GLTSCR2.1",7.46199825974757e-09,0.345624092412038,0.881,0.744,0.000152456086444903,"B_Cells","GLTSCR2"
"GTF2B",7.50342716892697e-09,-0.266844784137271,0.098,0.165,0.000153302520488347,"B_Cells","GTF2B"
"AP2A1",7.56660199284204e-09,-0.32077483220546,0.078,0.139,0.000154593245315756,"B_Cells","AP2A1"
"CORO1B.1",7.57290080936427e-09,-0.401613973878,0.219,0.279,0.000154721936436121,"B_Cells","CORO1B"
"ARPP19",7.61117897420944e-09,-0.347492891668269,0.124,0.19,0.000155503997622073,"B_Cells","ARPP19"
"CFAP97.1",7.93487781811621e-09,-0.26256773677843,0.097,0.165,0.000162117488701932,"B_Cells","CFAP97"
"MEF2A.1",8.26537834099602e-09,-0.291052686736214,0.093,0.159,0.00016886994488489,"B_Cells","MEF2A"
"KAT5",8.2973242970926e-09,-0.326653570364505,0.118,0.185,0.000169522632713899,"B_Cells","KAT5"
"RPS4X",8.53226457386224e-09,0.312493608266371,1,0.98,0.00017432269750858,"B_Cells","RPS4X"
"HMG20B",8.68611831567296e-09,-0.406568369063464,0.137,0.197,0.000177466083307514,"B_Cells","HMG20B"
"LSM14A",8.68991811720838e-09,-0.251443045006444,0.196,0.281,0.000177543717052685,"B_Cells","LSM14A"
"MAN2C1",8.89555883090528e-09,-0.294550899017581,0.058,0.116,0.000181745162474226,"B_Cells","MAN2C1"
"SARS",8.94943890197864e-09,-0.427270068909002,0.311,0.347,0.000182845986206326,"B_Cells","SARS"
"TMEM18",9.04775328087584e-09,-0.322383575148427,0.084,0.145,0.000184854647281574,"B_Cells","TMEM18"
"SCNM1.1",9.32179096753644e-09,-0.25121194849371,0.067,0.129,0.000190453511257737,"B_Cells","SCNM1"
"MRPL41",9.5068862544917e-09,-0.469361777325041,0.252,0.298,0.00019423519306552,"B_Cells","MRPL41"
"SNRNP27",9.87262651433502e-09,-0.305624022722389,0.106,0.173,0.000201707632314379,"B_Cells","SNRNP27"
"DDB1",1.00631462456287e-08,-0.333419668078328,0.127,0.192,0.000205600140944439,"B_Cells","DDB1"
"COX11.1",1.04934434202779e-08,-0.314900481166835,0.115,0.182,0.000214391542519697,"B_Cells","COX11"
"MIDN",1.04989241150659e-08,-0.324871130404871,0.164,0.242,0.000214503518594912,"B_Cells","MIDN"
"NDUFA2",1.06033739904329e-08,-0.442799492325687,0.372,0.397,0.000216637533998534,"B_Cells","NDUFA2"
"SLC25A4.1",1.07146378266679e-08,-0.578752920016097,0.165,0.219,0.000218910765436653,"B_Cells","SLC25A4"
"MRPS14",1.10186533381719e-08,-0.30976285551904,0.108,0.172,0.00022512210635219,"B_Cells","MRPS14"
"NELFE",1.17164647669048e-08,-0.447444046390139,0.21,0.261,0.000239379091652632,"B_Cells","NELFE"
"PPP2R5A",1.20793724250289e-08,-0.264251543190135,0.072,0.136,0.000246793658015766,"B_Cells","PPP2R5A"
"WASH1",1.20998237307424e-08,-0.272831600861186,0.067,0.128,0.000247211498642797,"B_Cells","WASH1"
"ACTR2.1",1.23074084255532e-08,-0.275655673437451,0.291,0.378,0.000251452661542477,"B_Cells","ACTR2"
"GSDMD",1.30437286037362e-08,-0.326532546485605,0.173,0.241,0.000266496419102934,"B_Cells","GSDMD"
"NABP1.1",1.3324339450066e-08,-0.369578106747693,0.126,0.195,0.000272229579304298,"B_Cells","NABP1"
"PLK3.1",1.36025223414879e-08,-0.321284283389857,0.127,0.196,0.000277913133958938,"B_Cells","PLK3"
"UBE2L6",1.38391208438121e-08,-0.382879463013495,0.173,0.234,0.000282747077959926,"B_Cells","UBE2L6"
"MRPL9",1.47293984207207e-08,-0.279051952003633,0.111,0.178,0.000300936339133745,"B_Cells","MRPL9"
"NDUFB3",1.57800379483436e-08,-0.395422471494785,0.29,0.334,0.000322401955322609,"B_Cells","NDUFB3"
"RNF10",1.60566021472869e-08,-0.320338579804276,0.155,0.222,0.000328052438471218,"B_Cells","RNF10"
"MALSU1.1",1.63653998339947e-08,-0.298950612038834,0.106,0.17,0.000334361484008345,"B_Cells","MALSU1"
"TMEM183A",1.64889305354997e-08,-0.272875362234668,0.098,0.162,0.000336885339770795,"B_Cells","TMEM183A"
"GPAA1",1.67988109637568e-08,-0.476732319849585,0.248,0.29,0.000343216506800515,"B_Cells","GPAA1"
"TSNAX",1.71263561516624e-08,-0.264954943719409,0.122,0.193,0.000349908582534614,"B_Cells","TSNAX"
"NFYB",1.72365143290555e-08,-0.300502671693553,0.07,0.129,0.000352159224256934,"B_Cells","NFYB"
"HSD17B11.1",1.73708083120358e-08,-0.34781624467438,0.327,0.383,0.000354902984623204,"B_Cells","HSD17B11"
"RPS6",1.74742358684623e-08,0.446038111893341,0.999,0.986,0.000357016113028554,"B_Cells","RPS6"
"ARMCX2",1.77547533839795e-08,-0.258365995190294,0.058,0.115,0.000362747366388085,"B_Cells","ARMCX2"
"GPN3",1.7974949502817e-08,-0.279866138865076,0.085,0.146,0.000367246193292054,"B_Cells","GPN3"
"COPS3",1.80852085198352e-08,-0.302352293343415,0.119,0.184,0.000369498895268753,"B_Cells","COPS3"
"RPS23",1.8361609053531e-08,0.505532939912146,0.999,0.98,0.000375146034572692,"B_Cells","RPS23"
"BBIP1",1.87611708044553e-08,-0.283536728385456,0.062,0.119,0.000383309480705827,"B_Cells","BBIP1"
"BAG1",1.87995474322889e-08,-0.469448660935174,0.262,0.301,0.000384093553589095,"B_Cells","BAG1"
"STK17A",1.89137906989779e-08,0.252554940132371,0.206,0.14,0.000386427657770818,"B_Cells","STK17A"
"SGK1.1",1.89440536853534e-08,-0.764692944651437,0.185,0.241,0.000387045960845455,"B_Cells","SGK1"
"UQCRC1.1",1.97337250622927e-08,-0.453263771295801,0.237,0.282,0.000403179736747702,"B_Cells","UQCRC1"
"MRPL2",1.98133562578694e-08,-0.376017812749747,0.122,0.181,0.000404806681704529,"B_Cells","MRPL2"
"EMP3.1",2.00939786326514e-08,-0.65919417651797,0.584,0.532,0.000410540077443702,"B_Cells","EMP3"
"SLC16A3.1",2.01144716328846e-08,-0.469592443643704,0.13,0.191,0.000410958769931465,"B_Cells","SLC16A3"
"EML3",2.13739851746645e-08,-0.263420025939023,0.083,0.146,0.00043669189110357,"B_Cells","EML3"
"CCL3.1",2.21604470127353e-08,-0.894115142722029,0.212,0.131,0.000452760092917195,"B_Cells","CCL3"
"CDKN2C",2.24037222763718e-08,-0.287951621006201,0.048,0.102,0.000457730449828551,"B_Cells","CDKN2C"
"ARL2BP.1",2.41722452577871e-08,-0.374384674399538,0.217,0.276,0.000493863142861848,"B_Cells","ARL2BP"
"FBXO7",2.43418657937273e-08,-0.299326972092844,0.176,0.245,0.000497328660031642,"B_Cells","FBXO7"
"NDUFA9",2.45720487119467e-08,-0.317204627622108,0.146,0.209,0.000502031527233783,"B_Cells","NDUFA9"
"CCNL2",2.54373770504732e-08,-0.355098599789922,0.138,0.204,0.000519711050518219,"B_Cells","CCNL2"
"FLII",2.60537329156837e-08,-0.299454717850454,0.112,0.174,0.000532303817200333,"B_Cells","FLII"
"PHF20L1",2.61039172491058e-08,-0.268265153248262,0.114,0.18,0.000533329133316481,"B_Cells","PHF20L1"
"PSMB4",2.72132685423906e-08,-0.391712674386466,0.225,0.279,0.000555994289589582,"B_Cells","PSMB4"
"ITFG1",2.74619240699248e-08,-0.411320131579964,0.176,0.231,0.000561074570672634,"B_Cells","ITFG1"
"C1QBP",2.78447602693295e-08,-0.295633142927635,0.325,0.388,0.000568896297062671,"B_Cells","C1QBP"
"POLR2H",2.81926128330314e-08,-0.311546632835737,0.103,0.165,0.000576003272791665,"B_Cells","POLR2H"
"RPL26L1",3.04771092224195e-08,-0.303995032701728,0.094,0.154,0.000622677818523252,"B_Cells","RPL26L1"
