"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AOAH",3.94754235040122e-264,0.865710630919193,0.38,0.034,8.06522377610472e-260,"Mono","AOAH"
"CFP",2.50134953571574e-260,1.04259484032044,0.274,0.016,5.11050723642083e-256,"Mono","CFP"
"SLC11A1",1.01880763244578e-254,1.03935496018608,0.385,0.038,2.08152587384998e-250,"Mono","SLC11A1"
"MAFB",4.40539914400943e-253,1.69052405877533,0.821,0.215,9.00067099112566e-249,"Mono","MAFB"
"HCLS1",1.04986267143161e-250,1.36935986368406,0.779,0.18,2.14497442400192e-246,"Mono","HCLS1"
"CTB-61M7.2",2.60624319453323e-250,0.56785706833523,0.164,0.003,5.32481547075084e-246,"Mono","CTB-61M7.2"
"MS4A4A",8.40415441828001e-244,1.28296179092476,0.611,0.104,1.71705278919879e-239,"Mono","MS4A4A"
"LILRB3",8.48761887030549e-244,0.99929034131677,0.456,0.058,1.73410541139212e-239,"Mono","LILRB3"
"HLA-DRA",2.33644069448069e-243,2.47418400255625,0.982,0.565,4.77358198289349e-239,"Mono","HLA-DRA"
"NUP214",2.89343046322629e-235,1.10944383211735,0.487,0.071,5.91156777941763e-231,"Mono","NUP214"
"IER3",4.06252131558206e-235,1.96251996688039,0.819,0.254,8.3001372998657e-231,"Mono","IER3"
"LCP1",1.67054004657412e-233,1.25918235500554,0.719,0.153,3.41308036915559e-229,"Mono","LCP1"
"TREM1",1.86723005260417e-233,0.77431753235719,0.277,0.019,3.81493772047557e-229,"Mono","TREM1"
"F13A1",2.84222665838188e-232,1.2605696991201,0.553,0.088,5.80695328574003e-228,"Mono","F13A1"
"HLA-DPB1",5.21997378677611e-232,2.43612922948143,0.96,0.484,1.06649284437623e-227,"Mono","HLA-DPB1"
"SLA",8.2443777192858e-232,1.11808085649097,0.577,0.097,1.68440881182728e-227,"Mono","SLA"
"HLA-DQB1",6.10087948573596e-231,2.18474587488165,0.905,0.329,1.24647068773071e-226,"Mono","HLA-DQB1"
"LRRC25",6.87245731667887e-230,0.886310159774972,0.387,0.043,1.40411175437066e-225,"Mono","LRRC25"
"CSF2RA",1.85461120847233e-228,0.894289057297392,0.361,0.037,3.78915616002982e-224,"Mono","CSF2RA"
"CTSB",1.0353218871729e-227,1.72443186872135,0.949,0.395,2.11526614768295e-223,"Mono","CTSB"
"CLEC5A",1.49366889541394e-227,0.756997111572676,0.272,0.019,3.05171492022021e-223,"Mono","CLEC5A"
"TYMP",5.51935154435758e-225,1.79284274807136,0.9,0.357,1.1276587140277e-220,"Mono","TYMP"
"HLA-DRB1",8.20405510703639e-225,2.23403422510571,0.974,0.548,1.67617049891861e-220,"Mono","HLA-DRB1"
"SAT1",2.70414700313147e-223,1.90309465221842,0.996,0.659,5.52484274209791e-219,"Mono","SAT1"
"GPX1",1.142404392068e-222,1.75986075116314,0.974,0.552,2.33404641343413e-218,"Mono","GPX1"
"LAIR1",2.00776070378258e-222,1.01339975640307,0.502,0.077,4.10205589389819e-218,"Mono","LAIR1"
"HLA-DPA1",3.94962635834306e-222,2.40947341601074,0.954,0.495,8.06948161273071e-218,"Mono","HLA-DPA1"
"LGALS2",5.3603972405732e-222,0.577616512313061,0.172,0.005,1.09518276022151e-217,"Mono","LGALS2"
"HLA-DMA",9.94974992806719e-222,1.76544118863814,0.892,0.333,2.03283340780341e-217,"Mono","HLA-DMA"
"ALOX5",2.66269998013179e-220,0.951711819680866,0.474,0.07,5.44016232940726e-216,"Mono","ALOX5"
"FTL",1.04455441372885e-213,1.45433314507833,1,0.992,2.13412912268941e-209,"Mono","FTL"
"HBEGF",1.30407023005841e-212,1.29260984945018,0.482,0.076,2.66434588703233e-208,"Mono","HBEGF"
"FCER1A",3.34222379892762e-212,1.67284551929862,0.228,0.014,6.82849744358903e-208,"Mono","FCER1A"
"PLEK",1.23847285065385e-211,1.01970817488099,0.447,0.064,2.53032388117089e-207,"Mono","PLEK"
"PHACTR1",1.63329531826178e-211,1.59473091736702,0.507,0.09,3.33698566474065e-207,"Mono","PHACTR1"
"LAT2",1.62934079926849e-209,0.945074612205704,0.456,0.067,3.32890618698545e-205,"Mono","LAT2"
"TNFAIP3",1.64480578830348e-208,1.35993578144367,0.544,0.101,3.36050270608284e-204,"Mono","TNFAIP3"
"FTH1",1.02032570965319e-205,1.73544225556871,1,0.997,2.08462745739244e-201,"Mono","FTH1"
"CYBA",2.3170560052321e-205,1.60571404096471,0.996,0.574,4.7339771242897e-201,"Mono","CYBA"
"CXCL2",1.07787785255327e-204,2.8584014131533,0.5,0.091,2.20221224055158e-200,"Mono","CXCL2"
"NLRP3",8.4329126311724e-204,0.564751235036966,0.234,0.015,1.72292837967483e-199,"Mono","NLRP3"
"RGS1",6.13525656805084e-203,2.27480366218626,0.63,0.148,1.25349426941847e-198,"Mono","RGS1"
"FAM26F",5.07224981240457e-202,0.980692496946175,0.449,0.068,1.03631135917238e-197,"Mono","FAM26F"
"MYO1F",6.79011279698065e-202,0.915327306317751,0.489,0.079,1.38728794555112e-197,"Mono","MYO1F"
"RGS10",7.36713668874708e-202,1.25804397297953,0.706,0.175,1.50517969687792e-197,"Mono","RGS10"
"CCL3L3",4.45247650266355e-200,2.82003784022729,0.464,0.079,9.09685474259191e-196,"Mono","CCL3L3"
