p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.9943041182334846,0.829,0.483,0,CH,FBLN5
0,0.9934138740021132,0.792,0.304,0,CH,MXRA8
0,0.9884777927107867,0.799,0.362,0,CH,SYNPO2
0,0.9638553391628311,0.883,0.567,0,CH,LMCD1
0,0.9556014191242617,0.875,0.579,0,CH,TNS1
0,0.9495467151256587,0.76,0.353,0,CH,SUSD5
0,0.9475309338099218,0.966,0.606,0,CH,SPARC
0,0.9288099013927074,0.856,0.442,0,CH,TIMP3
0,0.9238082563795835,0.959,0.582,0,CH,NUPR1
0,0.9210557290655119,0.91,0.535,0,CH,LHFPL6
0,0.9143673013326773,0.791,0.429,0,CH,CARMN
0,0.9088761834299903,0.779,0.277,0,CH,HSPB6
0,0.9066405496056853,0.868,0.432,0,CH,COPZ2
0,0.9065703015319362,0.923,0.669,0,CH,TCEAL4
0,0.9055923560157779,0.899,0.554,0,CH,FBLIM1
0,0.8990996416341279,0.917,0.423,0,CH,PLAC9
0,0.8968982692836278,0.851,0.371,0,CH,LMO7
0,0.8918856008044198,0.787,0.334,0,CH,CRISPLD1
0,0.8898531414224431,0.846,0.471,0,CH,RBPMS
0,0.8896056186896455,0.888,0.551,0,CH,GADD45A
0,0.8877973393185772,0.85,0.487,0,CH,MRVI1
0,0.8849742206261655,0.939,0.653,0,CH,ACTN1
0,0.8826142288758755,0.896,0.383,0,CH,ANTXR1
0,0.8733610310851148,0.791,0.371,0,CH,TTLL7
0,0.8530764700227644,1,0.837,0,CH,MGP
0,0.8472085577611475,0.858,0.437,0,CH,COL6A1
0,0.8459170447335356,0.83,0.393,0,CH,MSRB3
0,0.8439160025579546,0.764,0.303,0,CH,VASN
0,0.8348982148889201,0.78,0.293,0,CH,DLX6-AS1
0,0.818216355700452,0.925,0.574,0,CH,TINAGL1
0,0.8135558150451576,0.842,0.396,0,CH,RRAD
0,0.8044591535200909,0.856,0.515,0,CH,EFEMP2
0,0.7932600364541755,0.948,0.566,0,CH,C1R
0,0.7875587201023366,0.77,0.359,0,CH,PRKG1
0,0.7780899957203531,0.95,0.631,0,CH,ARID5B
0,0.7764113497702791,0.765,0.335,0,CH,PFN2
0,0.7712821138354171,0.759,0.346,0,CH,DACT3
0,0.768374357244461,0.846,0.269,0,CH,PRRX1
0,0.7636487810654506,0.894,0.575,0,CH,CPE
0,0.7560729809418331,0.892,0.511,0,CH,CDH13
0,0.7256153480630703,0.909,0.494,0,CH,C1S
0,0.7254288564667002,0.77,0.353,0,CH,SUCNR1
0,0.7239882578811997,0.813,0.298,0,CH,PRDM6
0,0.7030624111972392,0.79,0.246,0,CH,PPP1R3C
0,0.6746057256181308,0.865,0.346,0,CH,C1QTNF1
0,0.6727426643168601,0.93,0.449,0,CH,NR2F2
0,0.6374355636984409,0.784,0.269,0,CH,FBLN1
0,0.6304784506871871,0.723,0.255,0,CH,C1QTNF7
0,0.6260519189934239,0.948,0.554,0,CH,EFEMP1
0,0.6185736544630289,0.709,0.214,0,CH,RERGL
0,0.6138560616500169,0.769,0.223,0,CH,LMO3
0,0.605249586086212,0.864,0.396,0,CH,GUCY1A1
0,0.6042087012188693,0.757,0.294,0,CH,PRRX2
0,0.5953055764672539,0.825,0.459,0,CH,NDN
0,0.5725883719403053,0.8,0.265,0,CH,MT1M
0,0.5721722015413386,0.81,0.402,0,CH,PHLDA3
0,0.5651011533449446,0.823,0.438,0,CH,VCAM1
0,0.532738393795676,0.843,0.379,0,CH,PDGFRB
0,0.5064294047179659,0.8,0.315,0,CH,KRT17
0,0.5052560719035217,0.778,0.179,0,CH,DLX5
0,0.46157121691393693,0.765,0.333,0,CH,FGF7
0,0.4548780302036338,0.791,0.321,0,CH,RGS4
0,0.43056738434224984,0.806,0.379,0,CH,FHL2
0,0.4228209529365912,0.719,0.198,0,CH,ACAN
0,0.387663087186887,0.728,0.192,0,CH,NPTX2
0,0.3491778140373864,0.704,0.24,0,CH,GPC6
0,0.30705712109896977,0.686,0.153,0,CH,PTPRD
0,0.2814176168157068,0.731,0.272,0,CH,RGS7BP
0,0.27358597696596626,0.721,0.272,0,CH,KCNE4
0,0.2578255327604398,0.74,0.152,0,CH,LINC02544
0,0.25435418916716884,0.734,0.31,0,CH,GAP43
0,-1.10183040634078,0.298,0.594,0,CH,TNFRSF1B
0,-1.225318878313121,0.437,0.703,0,CH,REL
0,-1.3876265237104177,0.99,0.992,0,CH,TMSB10
0,-1.4216739113062085,0.535,0.791,0,CH,TPM3
0,-1.4217910730579124,0.999,0.999,0,CH,B2M
0,-1.4444344996313545,0.291,0.594,0,CH,COTL1
0,-1.7969404669295415,0.977,0.988,0,CH,HLA-B
0,-2.039236548105076,0.925,0.973,0,CH,HLA-E
